@	 4547861
Å	 1706012
Ö	 1576131
ñ	 1218926
ï	 1140980
â	 954006
¢	 949828
ô	 897279
£	 766101
Ñ	 647175
Å@	 574310
É	 564066
ì	 558299
§	 537605
Ö@	 459725
O	 436304
@Ñ	 431465
@@	 421604
¢@	 405501
ï@	 404047
k	 393033
ñ@	 389817
î	 364797
k@	 362010
Öï	 352953
ó	 288097
ÑÖ	 283006
K	 262198
@Ö	 245828
`	 242914
®	 239695
@ÑÖ	 228875
}	 223165
O@	 222262
Ç	 221542
@k	 211516
@k@	 211061
K@	 206850
ÑÖ@	 205072
@Å	 200613
@ÑÖ@	 194425
Öô	 175625
@O	 174771
ôÅ	 172997
£Å	 172517
Ò	 172381
Åï	 171545
ñ¢	 171028
@É	 169898
ñï	 169694
OO	 169660
@OO@	 169652
OO@	 169652
@OO	 169652
@¢	 165967
Öï@	 165810
Ö¢	 163590
Ñ}	 161861
	 161646
@Ñ}	 161155
@Öï	 159766
Å¢	 158792
á	 157822
ôÖ	 154431
Éñ	 151619
ï£	 150906
Åô	 150265
@ó	 150124
à	 146082
@®	 145505
¡	 145451
ñô	 143561
@Öï@	 142488
@`	 139142
£ñ	 137358
`@	 136905
Éâ	 135862
Åì	 134848
ïÅ	 134803
@`@	 134102
ñ¢@	 133418
¢£	 130159
@ñ	 130032
	 127343
Ü	 126252
§ï	 122635
Å£	 119974
@Å@	 118054
§Ö	 116428
Ú	 115753
@ì	 114703
˘	 114133
ôñ	 113410
≈	 113391
Û	 110246
ìÅ	 109567
ÉÅ	 104887
£Ö	 101170
Å¢@	 100812
ı	 100265
âï	 97171
@î	 96579
@@O	 96482
Ù	 96384
@@OO	 96256
@@OO@	 96256
@Éñ	 96153
@§	 95769
ˆ	 93509
”	 93021
âÉ	 93000
˜	 92613
â£	 92564
¯	 92412
®@	 91136
O	 90838
Œ	 89240
âÅ	 88035
ô@	 86813
£ô	 85922
@®@	 85688
•	 85327
@”	 85283
M	 85026
]	 84981
…	 84421
ôâ	 84331
@M	 82250
©	 81390
@£	 81060
@@Ñ	 79737
@ñ@	 79507
£â	 79065
@§ï	 78489
’	 78083
}Å	 77592
ò	 77187
ò§	 76335
@K	 75604
‚	 74432
@Ò	 74179
ìñ	 73532
@¡	 73408
ïÅ@	 72737
Ÿ	 72676
ÅÉ	 72078
îÅ	 70562
@K@	 69574
Öï£	 69201
óÅ	 67955
¢Ö	 67592
ñî	 65847
âñ	 65459
ß	 64889
Å@Ñ	 64730
ïÉ	 64279
®Ö	 64062
Éñï	 63843
âÖ	 63783
Éà	 63689
¢@Ñ	 63593
£ñ@	 63291
Å@@	 63113
¢â	 63044
âŒ	 63035
â¢	 62827
}ñ	 62507
óñ	 62466
ñï@	 61789
Öì	 61142
k@@	 61062
@Éñï	 60033
Ñ}ñ	 59914
£Å@	 59741
@‚	 59666
@Ñ}ñ	 59530
ò§Ö	 59502
@ò	 59396
@ò§	 59250
o	 59106
§Ö@	 58739
ïñ	 58508
Ñ}Å	 57785
@Ñ}Å	 57634
£@	 57221
Œï	 57126
@k@@	 56975
@®Ö	 56865
ïâ	 56633
z	 56179
ì@	 55428
√	 55244
ïÑ	 55036
