_	 2348086
a	 912950
n	 468125
a_	 419719
s	 373131
i	 318989
sa	 287203
o	 286816
sa_	 275404
g	 273648
_s	 246518
u	 244287
_sa	 235246
_sa_	 232937
e	 221376
m	 212989
t	 201982
g_	 176631
y	 164579
ng	 158912
r	 155932
l	 134568
p	 125090
ng_	 124271
k	 123885
an	 121557
h	 112573
.	 100651
ka	 99968
_m	 99338
o_	 97999
_k	 97563
._	 97184
ta	 93369
d	 91314
_u	 89969
_ka	 89699
hi	 86113
_.	 84342
yo	 84205
_._	 83917
ka_	 82890
_ka_	 82168
n_	 81558
in	 76038
on	 74036
_n	 72690
ang	 72478
-	 68570
na	 65003
ang_	 63949
ma	 61508
A	 61202
ay	 56924
pa	 56127
y_	 55458
_A	 54928
ar	 54022
ni	 53750
nt	 52543
on_	 51248
en	 50447
i_	 49581
to	 49463
us	 49071
ug	 49003
ga	 48656
_ma	 48344
ay_	 48202
re	 48135
_na	 47441
am	 47221
An	 46917
_An	 46498
Ang	 45815
_Ang	 45649
Ang_	 45633
_Ang_	 45504
iy	 45471
ah	 45290
_d	 44789
de	 44365
ug_	 44214
_ug	 44175
_ug_	 44089
yon	 43310
usa	 43263
K	 42783
ol	 42519
_us	 42460
_usa	 42431
im	 42399
_K	 42320
ini	 42238
ni_	 42111
tan	 42064
rt	 41973
mo	 41878
to_	 41522
yon_	 41233
usa_	 41226
b	 41097
me	 41051
_usa_	 41007
ahi	 40892
ent	 40208
ut	 40168
ini_	 40028
lu	 39958
may	 39346
nah	 39143
mu	 39077
may_	 39046
_may	 38963
_r	 38942
yo_	 38926
_may_	 38861
art	 38747
him	 38522
ep	 38512
Ki	 38508
nto	 38501
up	 38493
tang	 38484
_Ki	 38453
_re	 38367
men	 38300
_de	 38278
Kin	 38187
_nah	 38183
_Kin	 38142
iyo	 38117
ahim	 38114
par	 38100
eh	 38003
_mo	 37922
tang_	 37911
uta	 37883
Kini	 37878
_Kini	 37867
ment	 37845
hiy	 37814
iyon	 37768
nahi	 37734
_nahi	 37718
nto_	 37701
Kini_	 37696
hiyo	 37633
imu	 37614
ehi	 37610
utan	 37567
hiyon	 37541
iyon_	 37540
ehiy	 37526
ehiyo	 37521
reh	 37498
part	 37482
ento	 37473
nahim	 37431
rehi	 37417
utang	 37401
_reh	 37400
_rehi	 37394
rehiy	 37391
rta	 37389
ame	 37380
mento	 37348
ento_	 37328
himu	 37235
ahimu	 37227
mut	 37218
muta	 37197
tam	 37196
mutan	 37194
imut	 37180
himut	 37180
imuta	 37179
py	 37114
epa	 37102
dep	 37077
olu	 37077
lup	 37055
amen	 37043
mol	 37029
arta	 37008
ament	 37005
pyo	 37001
_dep	 36997
epar	 36996
epart	 36972
upy	 36947
_mol	 36947
lupy	 36946
lupyo	 36946
upyo	 36946
tame	 36945
pyo_	 36941
rtam	 36940
tamen	 36940
parta	 36938
artam	 36938
rtame	 36938
depa	 36933
depar	 36932
_depa	 36931
molu	 36899
upyo_	 36897
olup	 36897
olupy	 36895
molup	 36894
_molu	 36888
-_	 33236
,	 33228
,_	 33092
_-	 32264
_-_	 31888
la	 30968
ga_	 30957
nga	 23559
S	 23321
_a	 22632
c	 22209
e_	 21767
al	 21617
an_	 21228
s_	 20034
_S	 19904
ag	 19771
M	 19429
C	 19296
_,	 18977
_,_	 18942
_ng	 17895
il	 17784
_nga	 17493
as	 16863
w	 16424
P	 16215
B	 16040
_M	 15974
_p	 15688
ad	 15656
at	 15563
nga_	 15519
_nga_	 15103
er	 15096
li	 14783
ra	 14616
ba	 14426
ya	 14248
_an	 13810
is	 13624
es	 13561
_P	 12811
_ang	 12674
_ang_	 12573
ha	 12448
_C	 12359
_B	 12205
si	 12181
(	 12106
)	 12079
_(	 11982
le	 11642
d_	 11362
Sa	 11292
ong	 11215
t_	 11210
L	 10894
un	 10704
su	 10689
ab	 10683
aw	 10675
)_	 10439
ti	 10387
ul	 10346
?	 10313
ai	 10277
it	 10237
_Sa	 10183
_g	 9858
or	 9779
_t	 9771
mg	 9594
da	 9574
mga	 9532
mga_	 9521
_mg	 9506
_mga	 9499
_mga_	 9495
_pa	 9350
gi	 9272
ne	 9264
lo	 9131
l_	 8874
te	 8813
ong_	 8720
_L	 8682
v	 8494
_i	 8474
ur	 8432
T	 8350
ala	 8274
ll	 8271
ri	 8231
ig	 8231
ak	 8090
??	 8051
pi	 8042
st	 7994
tu	 7976
wa	 7951
ro	 7831
ip	 7770
no	 7534
ing	 7448
ap	 7437
ou	 7359
ik	 7327
lan	 7311
G	 7306
ain	 7139
od	 7137
D	 6988
ao	 6982
_T	 6962
Ma	 6921
ns	 6916
um	 6833
iya	 6781
I	 6751
se	 6661
t-	 6657
nd	 6599
ko	 6520
el	 6440
_gi	 6425
???	 6359
bo	 6343
f	 6288
_ni	 6284
r_	 6215
mi	 6201
_b	 6162
om	 6151
N	 5900
sy	 5863
e-	 5850
_G	 5835
R	 5747
og	 5648
_Ma	 5640
_D	 5637
ana	 5610
_l	 5576
int	 5552
V	 5542
au	 5535
awa	 5530
es_	 5468
ub	 5432
han	 5417
ia	 5400
ya_	 5391
Mg	 5356
Mga	 5355
Mga_	 5355
_Mg	 5322
_Mga_	 5321
