_	 6819242
n	 1697774
a	 1532360
e	 1412545
i	 1263555
o	 1028477
s	 965101
t	 817435
n_	 788951
y	 779839
l	 652945
an	 543133
r	 456223
k	 452565
e_	 448526
on	 403881
yo	 367035
i_	 365134
p	 360890
m	 351166
a_	 296789
en	 287183
_s	 281752
sy	 269949
yon	 263920
an_	 263392
on_	 261887
v	 246394
ti	 244531
yon_	 240172
w	 232241
d	 227245
è	 222166
_a	 217127
ye	 208979
.	 205516
na	 204263
k_	 197969
_l	 197664
as	 196204
u	 196058
_n	 189270
._	 188224
syo	 188201
syon	 188178
,	 182940
,_	 182646
g	 173284
_na	 172307
asy	 171247
asyo	 171188
asyon	 171185
it	 169956
f	 166402
nan	 165710
_nan	 165288
nan_	 165236
_nan_	 165095
syon_	 164748
s_	 161576
ik	 160934
en_	 159765
te	 156914
la	 156698
ns	 156137
re	 156008
ou	 155188
ra	 155008
_p	 154933
_y	 150899
_yo	 150370
yi	 147944
A	 145486
_A	 144263
K	 143633
_K	 143351
_r	 142285
is	 137502
yen	 137041
se	 131417
_e	 131094
t_	 130104
li	 130070
ò	 129085
st	 128673
te_	 126886
_.	 124699
sa	 122221
l_	 119048
_k	 118890
_._	 118673
o_	 118457
_re	 117321
_sa	 116174
ns_	 114965
_d	 114021
ta	 112414
se_	 112065
yen_	 111299
ma	 111264
b	 109148
il	 107055
pi	 105919
el	 105717
vi	 104754
sa_	 104101
_sa_	 103554
wo	 101598
iti	 101528
_se	 100551
nt	 99172
_m	 98927
_se_	 98472
ans	 98311
P	 94202
yo_	 91697
at	 90930
:	 88760
las	 87833
ep	 87399
ti_	 87109
Ay	 86979
_Ay	 86952
Ayi	 86931
_Ayi	 86908
lasy	 86904
lasyo	 86881
I	 85781
et	 84768
_P	 84247
ik_	 83020
no	 80809
om	 80183
_yo_	 80158
_:	 80061
_I	 79627
ak	 78813
wa	 78446
al	 77381
E	 77219
_,	 76799
_,_	 76729
man	 76707
_E	 76293
sye	 76286
wa_	 76142
:_	 76040
ri	 75934
fe	 75809
er	 75332
z	 75156
tw	 74881
de	 74533
_:_	 74407
pi_	 74279
isy	 74160
epi	 73941
twa	 73929
ans_	 73644
twa_	 73626
epi_	 73609
Is	 73504
_Is	 73492
stw	 73471
stwa	 73401
stwa_	 73388
Ist	 73325
_Ist	 73321
Istwa	 73312
Istw	 73312
_Istw	 73311
ela	 72959
syen	 72921
isye	 72830
isyen	 72772
elas	 72474
elasy	 72443
_t	 72344
yis	 71544
yisy	 71470
yisye	 71441
ko	 70270
_an	 69937
ka	 69056
ran	 69010
di	 68289
ye_	 67512
_yon	 67321
_yon_	 67220
in	 66412
si	 65867
h	 65117
ant	 64310
era	 64258
_ak	 63855
un	 63490
man_	 62669
vil	 62607
il_	 62506
ak_	 61876
iti_	 61737
_li	 61627
oun	 61006
vil_	 60865
_v	 60316
nm	 59882
R	 58881
tik	 58626
_R	 58251
tik_	 58226
ly	 57576
li_	 57346
_li_	 56982
lye	 56851
_la	 56645
_de	 56186
mi	 56182
ve	 55912
n,	 55340
n,_	 55317
c	 55136
mo	 55067
kon	 55036
ef	 54712
Re	 54346
gr	 54303
_Re	 54290
L	 53794
eta	 53365
_L	 53014
D	 52664
rans	 52577
j	 52518
_vi	 52482
le	 52428
lan	 52359
fer	 52277
_D	 52143
eran	 51987
fera	 51940
feran	 51919
rans_	 51853
efe	 51804
erans	 51803
efer	 51766
efera	 51721
_g	 51719
ot	 51440
ta_	 51154
_ep	 50592
èk	 50575
_epi	 50513
yit	 50462
yiti	 50452
_epi_	 50451
Ayit	 50376
Ayiti	 50376
_Ayit	 50356
ite	 50345
rel	 50295
yiti_	 50260
èk_	 50229
omi	 50130
_rel	 50092
ite_	 49690
nt_	 49608
mou	 49601
_vil	 49590
dik	 49561
