_	 66371161
e	 18040574
a	 15709919
t	 14432394
l	 11273601
s	 11085728
n	 9939467
r	 8505053
k	 8126839
i	 8104418
o	 7866014
z	 7104831
á	 6107477
é	 5781749
g	 5291214
m	 5123455
b	 3833710
y	 3697366
_a	 3659784
d	 3557301
a_	 3514916
v	 3432691
,	 2974163
,_	 2956139
.	 2878155
t_	 2858244
sz	 2746325
el	 2638235
._	 2581679
h	 2569995
s_	 2457861
u	 2327010
p	 2284964
n_	 2231385
et	 2163531
en	 2104523
k_	 2075571
_a_	 1982812
j	 1946337
ö	 1880950
te	 1861812
er	 1816657
_k	 1809905
f	 1753031
õ	 1718085
ó	 1702699
_m	 1689257
c	 1674035
és	 1667784
le	 1667286
i_	 1655063
gy	 1630969
al	 1598068
an	 1561343
_e	 1549676
eg	 1478439
at	 1458266
tt	 1422444
_s	 1331231
e_	 1330892
_t	 1325287
ta	 1301139
ze	 1298447
-	 1288959
A	 1246864
l_	 1230202
ek	 1186759
me	 1182204
_v	 1176342
es	 1168160
_é	 1165318
z_	 1161574
or	 1136963
re	 1132361
_A	 1120245
í	 1109535
_h	 1099435
_f	 1062827
ak	 1053198
on	 1028829
la	 1014157
ol	 1009468
ny	 998146
ás	 998110
be	 991914
y_	 985675
ne	 974757
ve	 971847
ar	 959225
az	 952971
lt	 943174
ál	 922789
is	 915688
ü	 914416
nt	 906713
in	 882237
ár	 882109
_sz	 873179
ke	 868776
ba	 862556
)	 848680
(	 847443
tá	 844473
en_	 843942
ra	 837648
és_	 836437
_n	 815576
to	 814693
_(	 806879
ez	 801275
_-	 794567
em	 784868
án	 782686
rt	 765879
_i	 764991
ok	 756529
ko	 745130
_és	 740270
_az	 739127
na	 735138
os	 732401
ll	 728671
se	 717045
_és_	 716844
r_	 706740
té	 703211
ha	 702949
ly	 693052
ik	 692993
A_	 676763
sze	 664155
ot	 662970
én	 661949
_.	 659034
ma	 657772
ag	 655642
_l	 652371
)_	 651166
ro	 644145
an_	 643730
az_	 642516
_A_	 639644
:	 638119
va	 637760
_b	 637620
zt	 634149
de	 630618
tt_	 628172
_az_	 621965
sa	 618150
g_	 617415
ka	 616823
_me	 614844
ye	 613462
kö	 612424
_._	 604949
egy	 603377
gy_	 596323
ül	 594179
ti	 584580
ég	 578575
S	 573630
_el	 573238
ek_	 573062
ri	 571489
ban	 567951
lá	 566834
zá	 558194
ki	 554830
:_	 553936
nd	 547668
mi	 546443
so	 545952
ér	 543608
ett	 539141
st	 537319
ben	 534863
cs	 533175
as	 530810
M	 530412
át	 529792
he	 525422
fe	 514544
za	 502820
oz	 502117
ad	 501468
ú	 496575
li	 495989
õ_	 485431
ít	 483451
m_	 482688
_r	 481540
sé	 480793
t,	 478107
t,_	 476531
ele	 472232
ho	 471355
bb	 471283
t.	 465737
_M	 459188
rá	 457364
ké	 452512
om	 451454
ss	 451049
_,	 450840
ap	 450612
_kö	 450488
ge	 449677
_eg	 449184
_,_	 448214
K	 446453
_p	 445620
t._	 441834
_S	 440450
má	 439186
meg	 435106
ni	 434813
sá	 434701
ban_	 433963
vá	 433201
il	 431866
am	 427711
ben_	 425227
él	 424233
_egy	 423810
let	 423427
ott	 420681
û	 419266
ó_	 418011
it	 417081
_c	 416817
E	 414320
og	 414277
ai	 412269
ág	 412007
ed	 410700
us	 410689
ét	 409252
_meg	 407064
B	 406737
ya	 405084
ere	 399714
_fe	 397268
_K	 397227
zo	 395896
ga	 395511
ia	 395350
je	 395189
ak_	 394322
ja	 393390
-_	 391212
lo	 381294
–	 378944
zet	 374018
_d	 373040
T	 371365
lé	 370631
_ha	 370105
zer	 369872
_te	 369693
öz	 368677
agy	 367166
ék	 366905
ete	 366798
_j	 365578
vé	 365513
da	 364554
et_	 363019
já	 357839
fo	 357273
_le	 356729
mé	 356472
szt	 355707
zi	 351559
_E	 349350
di	 347771
–_	 347586
_o	 346955
_–	 344462
szer	 341725
zé	 341195
ok_	 340578
tó	 340127
_ki	 339619
I	 338805
es_	 338121
ész	 337348
_–_	 335646
áb	 333571
ig	 332868
szá	 331899
ut	 331528
ul	 329654
_-_	 329262
vi	 327304
ép	 326579
d_	 324095
si	 322831
pe	 322612
_B	 322185
tõ	 321010
F	 317950
_is	 317527
do	 317506
ör	 315197
len	 314817
nek	 314055
is_	 313105
vo	 312984
ség	 312040
C	 310448
_ne	 308352
rs	 303924
nt_	 303721
ely	 301477
ter	 301359
aj	 301302
_T	 299743
ala	 298870
köz	 298449
_á	 297766
P	 297728
b_	 297103
tet	 294623
el_	 293245
fel	 293245
lt_	 292489
k,	 292287
k,_	 291348
po	 291050
nak	 290002
ák	 289669
lm	 285956
_sze	 285442
H	 284878
mo	 283701
L	 283318
tö	 283288
ng	 281988
lõ	 280978
_ho	 280933
_g	 277521
ól	 276145
_F	 275156
N	 273757
_ta	 270096
né	 270072
tal	 266971
ló	 264081
_)	 263068
_ma	 262739
-b	 262553
_al	 261474
al_	 260152
_va	 257894
k.	 256805
rm	 256444
_fel	 255538
ré	 253284
int	 252556
ir	 252111
_cs	 251925
év	 251561
bb_	 251301
ai_	 251102
olt	 247099
os_	 246850
ev	 246460
te_	 246442
_ke	 245863
id	 245749
ls	 245306
_mi	 244498
_H	 243267
D	 243184
?	 242756
_P	 242040
pa	 240772
_köz	 240577
kor	 240293
go	 240233
ei	 240230
k._	 239899
tás	 239849
R	 239131
ta_	 239045
mel	 237670
_C	 237669
_-b	 236727
ell	 236704
ett_	 235390
ány	 234472
sza	 233677
ent	 233483
án_	 232975
_ké	 232630
_vo	 232195
_L	 231607
a,	 230974
lk	 230628
