_	 12715527
a	 2593574
r	 2458939
i	 2154440
n	 2079155
t	 1895066
s	 1803345
e	 1716842
l	 1518924
o	 1347437
u	 1073746
m	 1003725
f	 916514
g	 896262
:	 856290
ð	 844333
r_	 748101
:_	 677440
k	 675455
p	 552350
.	 516954
ar	 515790
d	 495041
v	 489973
._	 480664
h	 441972
in	 433318
a_	 427474
_s	 426228
_f	 413971
_t	 412030
_a	 402867
ð_	 385420
ti	 380859
os	 374906
á	 367951
s:	 365492
n_	 365149
po	 361768
pos	 358494
os:	 357956
pos:	 357938
í	 354012
s:_	 329401
an	 329189
i_	 329113
os:_	 327906
pos:_	 327888
st	 326043
il	 323856
nn	 319369
_e	 306212
er	 304553
,	 283909
,_	 282377
m_	 277762
y	 276829
b	 275979
ll	 267654
_h	 265027
ei	 265023
g_	 262641
t:	 261392
ur	 258055
_v	 253446
að	 251441
at	 248010
fr	 245796
j	 243839
ri	 242716
_.	 238684
til	 236507
na	 235644
ta	 234664
_._	 233389
_ti	 232639
ó	 232275
_til	 231125
ar_	 230550
_o	 225849
t:_	 225044
ir	 223392
_fr	 223382
t_	 210137
þ	 208446
nd	 207546
om	 204266
ið	 203699
um	 200482
og	 197830
en	 194900
ro	 194488
la	 191634
ill	 191355
or	 190948
og_	 190270
_og	 189714
_og_	 189483
_þ	 188561
ö	 186810
s_	 181875
u_	 180901
í_	 176469
ur_	 173755
till	 172917
rom	 171564
_á	 171188
ng	 171122
æ	 171092
_till	 170773
fro	 170768
_fro	 170706
from	 170560
_from	 170550
ni	 169493
_at	 168952
mp	 167895
lp	 166442
_í	 165427
#	 165060
#_	 164855
omp	 164698
_#	 164398
_#_	 164361
mpo	 164173
mpos	 164028
llp	 164000
ompo	 163998
romp	 163993
ompos	 163985
at:_	 163955
at:	 163955
lpo	 163954
llpo	 163946
rompo	 163945
illpo	 163944
lpos:	 163944
mpos:	 163944
llpos	 163944
tillp	 163944
illp	 163944
lpos	 163944
fromp	 163944
_at:	 163944
_at:_	 163944
al	 162469
að_	 162218
te	 161917
se	 159534
ir_	 158456
va	 158221
c	 157671
á_	 156924
_í_	 153660
ra	 153132
_m	 151869
um_	 148446
un	 146484
ið_	 144385
af	 142066
inn	 140048
_b	 138073
_,	 136547
_,_	 135998
le	 134579
)	 133803
(	 133784
S	 132427
_er	 129424
ve	 128545
_að	 126017
rs	 124120
_l	 124117
ði	 123500
ú	 123385
x	 123133
sk	 120897
ga	 120300
em	 120215
ns	 119853
er_	 119256
on	 117407
nu	 117055
l_	 116744
tt	 115364
ma	 113622
nn_	 113304
_að_	 110956
is	 110434
_se	 109861
di	 109856
ða	 108792
_va	 107304
_te	 107048
tu	 105551
)_	 105517
ex	 105211
re	 104665
-	 104453
si	 104415
ki	 103382
xt	 102241
ext	 101526
ann	 101164
me	 101060
%	 100924
_%	 100774
_á_	 100350
ðu	 100305
ha	 100288
%_	 100257
_%_	 100186
_n	 98455
_k	 98413
_er_	 97907
li	 97570
yr	 95521
tex	 94062
text	 94051
ld	 93839
_text	 93773
_tex	 93773
var	 93530
sem	 93381
he	 93251
_S	 92720
ein	 92622
H	 92028
rð	 90999
eg	 90695
lu	 90693
em_	 90565
am	 90205
sem_	 89387
_(	 89035
sta	 88966
_sem	 88947
_u	 88706
_sem_	 88443
_)	 88244
ta_	 87837
ru	 86385
lo	 85515
gu	 85179
ing	 84760
vi	 83418
ef	 83131
as	 83110
ka	 81765
-_	 81313
it	 80973
_g	 80330
_-	 79982
da	 79946
nt	 79441
_ha	 79382
_H	 79301
fy	 79224
fn	 79135
nna	 78687
_var	 78551
na_	 78486
=	 78480
and	 78114
gi	 77835
r:	 77451
ja	 77289
sa	 77285
=_	 77054
_-_	 75870
mi	 74872
fyr	 74407
_st	 73883
es	 73804
ol	 73347
_)_	 72861
_r	 72831
(_	 72690
ig	 72424
ag	 71302
st_	 70666
_=	 70158
B	 70139
_=_	 69767
eð	 69512
A	 69057
é	 68965
var_	 67518
ss	 67480
k_	 66628
_var_	 65161
ndi	 63945
M	 63399
_he	 63289
ku	 63062
e_	 62974
nni	 62957
ver	 62925
f_	 62636
nar	 62423
ge	 61234
xt:	 60389
text:	 60388
ext:	 60388
kk	 59863
rn	 59689
jó	 59294
fa	 59031
ður	 58866
T	 58852
il_	 58850
_vi	 58609
_B	 58147
_i	 57930
F	 57492
fi	 57462
þe	 57429
ft	 57039
D	 56614
_me	 56523
_þe	 55940
olo	 55697
lor	 55521
d_	 55247
_T	 54898
olor	 54588
_ve	 54511
au	 54448
co	 54107
ý	 53929
el	 53823
ba	 53434
rst	 53384
rg	 53129
til_	 53098
_fy	 52521
_til_	 52307
_en	 52250
sl	 52245
in_	 51434
du	 51260
ann_	 51039
ði_	 50934
þa	 50584
im	 50434
_A	 50309
inn_	 50066
z	 49970
_þa	 49851
fo	 49611
e:	 49178
col	 49081
_fyr	 49034
lan	 48631
colo	 48551
ik	 48518
color	 48506
et	 48150
han	 48044
gar	 47824
_p	 47732
L	 47721
ko	 47662
rk	 47579
ns_	 47395
fu	 47330
_af	 47238
_M	 47012
ár	 47005
ne	 46862
ni_	 46377
id	 46284
ru_	 46276
num	 46164
_ei	 46060
an_	 45681
ts	 45633
en_	 45506
rá	 44773
ins	 44649
við	 44612
_han	 44392
ist	 44392
ra_	 44263
_F	 44212
ek	 44133
ey	 44066
di_	 44024
_L	 43906
Þ	 43905
tur	 43893
gr	 43570
_um	 43472
_fo	 43306
ti_	 43301
iz	 43164
und	 42984
rið	 42840
_ba	 42836
_Þ	 42776
