_	 75554938
e	 20533883
i	 19739275
a	 19356410
o	 15676370
n	 12964515
t	 12062644
l	 12004723
r	 11481199
s	 8508446
c	 7087758
d	 7083587
e_	 6897163
a_	 6271731
u	 5376278
i_	 5110056
o_	 4949858
p	 4603577
_d	 4385379
m	 4367081
g	 3086665
on	 2946860
,	 2741826
,_	 2725699
er	 2709040
_c	 2629154
_s	 2554016
v	 2470990
di	 2402602
_a	 2381002
re	 2299502
el	 2294533
in	 2257100
_p	 2222166
to	 2217802
al	 2198788
ri	 2194207
en	 2180839
te	 2179111
de	 2144839
l_	 2119728
co	 2117609
la	 2094154
ta	 2068680
an	 2061251
at	 2020179
nt	 2012880
.	 2004116
ra	 1996528
ne	 1996219
ll	 1991082
_i	 1988077
f	 1915294
ti	 1892173
_di	 1807076
io	 1777648
._	 1773780
n_	 1726713
or	 1675746
h	 1674667
z	 1654182
ar	 1636338
_e	 1616402
_de	 1616142
st	 1613801
le	 1591537
_l	 1561320
li	 1534530
di_	 1516794
es	 1515019
la_	 1504273
no	 1486827
b	 1485320
_di_	 1430049
to_	 1421508
ia	 1345268
si	 1326637
_co	 1282119
tt	 1261341
na	 1260234
ro	 1258357
ic	 1249342
it	 1222117
me	 1196724
del	 1178570
il	 1170535
ell	 1160836
_del	 1153512
tr	 1138452
un	 1136121
ni	 1130175
ca	 1117341
ol	 1105726
ent	 1075765
se	 1070484
_n	 1056228
ch	 1051460
re_	 1018798
_in	 957745
ci	 950153
is	 948607
_m	 942405
pe	 937781
ion	 936871
ne_	 932993
le_	 932379
pr	 924026
'	 918600
_u	 903096
ma	 902421
te_	 899852
da	 898923
lla	 882659
_r	 881001
_e_	 877619
so	 876696
_f	 870498
po	 865093
_t	 854703
no_	 851273
ss	 850465
nd	 842135
he	 837390
el_	 834873
zi	 829398
lla_	 809522
_,	 802551
_,_	 798800
ve	 795386
con	 789355
ta_	 780779
et	 762026
lo	 755973
om	 754131
_un	 747971
nte	 734608
os	 723141
ti_	 720570
)	 717323
(	 715561
one	 707697
_(	 698776
che	 697485
gi	 694528
_la	 693709
dell	 690452
S	 688349
do	 686523
-	 686019
he_	 682092
ie	 681958
am	 679019
ce	 677951
_dell	 676695
_al	 664816
_pr	 661718
per	 654409
zio	 651486
as	 642340
C	 642242
ato	 638781
_v	 637865
pa	 631785
il_	 631109
im	 629752
_il	 624652
_il_	 617580
_con	 615691
_.	 609284
zion	 604426
rt	 603971
che_	 603534
su	 601449
_la_	 600257
vi	 599366
I	 597617
va	 595349
in_	 590172
r_	 589873
l'	 589315
men	 588202
_da	 585147
ione	 585125
_ne	 580982
one_	 580635
_._	 580267
mo	 571027
_S	 570949
fi	 565889
ella	 564663
A	 564436
sc	 560625
_C	 559331
mi	 556312
eg	 556063
_g	 544821
ella_	 544558
_in_	 542352
q	 541104
ment	 538567
qu	 535185
_pe	 532992
all	 522581
L	 520210
on_	 518210
sa	 517979
pi	 516620
ia_	 516210
ra_	 513849
ione_	 510115
na_	 508058
_su	 504492
-_	 496103
iv	 496056
_ch	 495271
_-	 484376
nc	 482484
li_	 482205
ato_	 481641
nel	 480795
_per	 479548
)_	 477653
er_	 475960
ua	 472786
ur	 471915
del_	 470206
lt	 469421
_del_	 468541
_-_	 463625
_o	 463478
_a_	 463245
_L	 462616
_nel	 460157
ot	 458685
ale	 457789
P	 457468
sta	 457309
ter	 457181
ut	 454821
ue	 454077
tu	 453489
ni_	 453094
nte_	 450128
az	 449213
_I	 448401
