_	 4278097
a	 1804146
n	 1118953
i	 930201
e	 598302
g	 526050
u	 523742
s	 504322
r	 494338
t	 463759
an	 439135
k	 415537
ng	 380174
l	 368490
a_	 304859
o	 304184
m	 275785
d	 267202
n_	 256416
in	 241219
h	 236010
g_	 226294
ng_	 223387
p	 221905
b	 207175
w	 179548
sa	 179499
,	 177259
,_	 175459
i_	 174663
.	 167561
an_	 163859
ra	 158431
ka	 151296
ing	 149030
_s	 143674
la	 140880
._	 140104
ar	 139773
_i	 135230
ing_	 132539
ta	 130859
j	 130637
at	 129487
é	 128184
en	 125411
al	 123868
_k	 123098
-	 111159
ang	 110562
:	 108300
si	 106478
un	 102063
y	 98492
ga	 98199
ik	 97163
_,	 96189
_,_	 95936
_d	 93317
na	 89716
ba	 88917
P	 87770
S	 86996
_p	 86565
ak	 84231
K	 83812
:_	 83595
ah	 82912
_K	 78139
_sa	 77065
c	 76668
ni	 75971
_P	 75425
ma	 73902
wa	 72991
pa	 72842
_.	 71745
er	 71503
h_	 71029
D	 69837
ku	 69507
_in	 69110
_S	 68504
s_	 68492
on	 67627
ha	 67099
as	 66846
am	 65053
es	 64844
_ka	 64788
_._	 64027
_ing	 63404
te	 63304
u_	 62141
_D	 60977
di	 60637
ya	 60534
ab	 60208
li	 59432
aw	 59183
_m	 58197
-_	 57659
_ing_	 57618
_ik	 57614
_l	 57241
nt	 56939
_t	 56321
_a	 55868
_n	 55754
it	 54854
é_	 54633
r_	 54557
(	 54323
)	 54280
ur	 54154
ala	 54027
is	 53813
wi	 52140
ro	 51689
_-	 51302
ran	 51220
è	 50849
B	 50337
ara	 50296
lan	 49047
e_	 48740
_j	 47963
ri	 47735
nd	 47674
el	 47494
_(	 46960
tu	 46842
sa_	 46641
_w	 46367
_b	 46200
kan	 46037
us	 45282
ah_	 45211
ti	 45124
f	 45114
bu	 45052
ki	 44616
re	 44230
ata	 44211
da	 44065
_B	 43927
em	 43438
ji	 43212
_-_	 42829
t_	 42567
ang_	 42428
mb	 42356
ana	 42323
ja	 42289
?	 40862
eng	 40792
ut	 40737
mi	 40471
Ka	 39703
_la	 39360
ung	 39174
dh	 39173
_Ka	 38956
ad	 38922
nin	 38434
)_	 38145
_u	 38060
ning	 37952
th	 37950
ku_	 37628
iku	 37346
ra_	 37206
tan	 37053
ning_	 36995
A	 36732
nga	 36470
_si	 36432
v	 36227
or	 36132
lan_	 36104
l_	 35771
le	 35730
_di	 35608
M	 35586
pu	 35413
du	 34126
_lan	 33964
ge	 33903
iku_	 33753
si_	 33649
ne	 33525
ia	 33468
k_	 33324
il	 33081
Pr	 32831
_Pr	 32566
pe	 32299
_lan_	 32135
ca	 31849
ij	 31830
gg	 31760
ngg	 31355
lu	 31296
??	 31238
ke	 31232
o_	 31207
T	 30955
_M	 30895
iki	 30600
_iku	 30449
ul	 30309
_iku_	 29815
up	 29815
I	 29811
hi	 29478
gan	 29202
ka_	 29197
ini	 29097
iji	 29044
en_	 29008
_A	 28987
se	 28921
uk	 28782
ns	 28581
ki_	 28528
és	 28150
èn	 27981
ed	 27696
me	 27613
ga_	 27593
ama	 27429
awi	 27220
iki_	 27203
ant	 27009
aka	 26953
st	 26907
R	 26845
_iki	 26842
_T	 26630
ir	 26445
aba	 26346
han	 26221
_r	 26152
De	 26150
san	 25973
_:	 25906
ésa	 25906
nal	 25801
ali	 25788
ara_	 25706
_kan	 25698
_pa	 25556
jin	 25483
ru	 25460
_ba	 25450
_iki_	 25398
/	 25393
Si	 25332
awa	 25145
???	 25088
us_	 25000
m_	 24964
_Si	 24812
Pra	 24760
_Pra	 24663
jini	 24458
ijin	 24439
_De	 24326
ap	 24296
um	 24276
la_	 24270
aha	 24230
inin	 24063
ining	 24041
upa	 24017
jinin	 23800
pat	 23800
ijini	 23790
de	 23675
gi	 23668
ay	 23494
lah	 23494
et	 23474
ug	 23416
ngan	 23374
pr	 23364
_R	 23324
itu	 23279
saw	 23193
gk	 23042
ngk	 22986
ung_	 22931
nu	 22922
_saw	 22723
sin	 22714
abu	 22603
mba	 22530
né	 22437
ip	 22375
_pe	 22359
uw	 22317
tan_	 22304
sal	 22250
--	 22142
bar	 22100
vi	 22047
_I	 22014
Ke	 21943
lo	 21871
ura	 21791
J	 21722
lah_	 21715
nsi	 21614
he	 21537
_:_	 21522
W	 21458
sawi	 21413
_sawi	 21340
ov	 21316
wij	 21275
ala_	 21242
nan	 21198
be	 21115
ta_	 21090
Ba	 21082
wiji	 20945
dé	 20935
awij	 20877
awiji	 20722
èn_	 20702
emb	 20689
wijin	 20651
ba_	 20573
_J	 20496
sawij	 20478
tus	 20387
un_	 20382
asa	 20368
pun	 20314
sing	 20271
ag	 20248
rah	 20236
kang	 20223
ai	 20216
upat	 20180
ny	 20174
_ja	 20146
nsi_	 20133
we	 20066
alah	 20062
_sin	 20051
ésa_	 20039
rana	 19886
C	 19881
jab	 19850
jaba	 19761
bup	 19744
bupat	 19740
bupa	 19740
sing_	 19737
han_	 19727
abup	 19713
abupa	 19712
_sal	 19646
Pran	 19638
aba_	 19622
angg	 19605
_Pran	 19605
????	 19589
tar	 19576
uga	 19565
tus_	 19539
alah_	 19492
anal	 19474
esa	 19433
om	 19433
_pr	 19424
man	 19403
_ng	 19394
_W	 19380
nala	 19334
_sing	 19324
sala	 19321
ahan	 19301
wa_	 19291
_an	 19289
_Ba	 19287
L	 19266
ins	 19233
_Ke	 19225
_ug	 19219
anala	 19216
Prana	 19205
_)	 19199
nala_	 19195
ranal	 19190
ko	 19147
N	 19145
ovi	 18951
yan	 18879
