_	 52063242
À	 10810836
Ç	 6709512
°	 5433568
¸	 5381707
¿	 5268252
´	 5151145
Á	 3835653
µ	 3660010
º	 3459161
¡	 3427027
¼	 3220249
_À	 3149786
±	 3134757
»	 2893518
¹	 2861703
·	 2611981
¾	 2566871
³	 2474426
Ì	 2440583
Î	 2395079
Ù	 2180114
Â	 2170768
ÀÌ	 2164366
½	 2039756
.	 1994210
Ã	 1913286
Ï	 1906315
´Ù	 1867291
_°	 1851635
._	 1828818
Å	 1693726
ö	 1645982
ÀÇ	 1637459
,	 1615052
È	 1609024
¶	 1580842
,_	 1573285
_¿	 1561260
¿¡	 1556121
Ç_	 1522093
Æ	 1513617
ç	 1464997
_Á	 1464649
Ù.	 1447723
´Ù.	 1447561
ÀÇ_	 1430745
â	 1421545
´Â	 1394592
¡_	 1386282
Ù._	 1380087
´Ù._	 1379957
Â_	 1374610
´Â_	 1299621
®	 1281164
í	 1273619
­	 1230295
Ä	 1207957
_Ç	 1150766
_±	 1148541
·Î	 1143932
Î_	 1138927
ë	 1129775
ø	 1123770
ÇÏ	 1110826
_¹	 1058655
)	 1055248
(	 1054867
î	 1046942
Ö	 1036714
»_	 1008564
¦	 995314
_¼	 979647
À»	 966327
ú	 958852
Ñ	 955094
À»_	 940477
_µ	 906630
_³	 899960
_¸	 893564
ß	 886814
°¡	 877556
ü	 862327
º_	 853789
°í	 850984
¿¡_	 849166
Áö	 839343
_º	 825101
e	 818673
ó	 812758
Ì_	 799836
_´	 795810
·Î_	 794393
ª	 791364
_¾	 783761
ÇÑ	 780736
ÀÌ_	 772032
¼­	 771412
±â	 754059
Àº	 718082
Í	 699952
¦_	 697909
Ú	 692619
×	 692316
»ç	 691044
a	 688945
÷	 677249
_ÀÌ	 676053
Àº_	 675951
¤	 656535
À¸	 655684
_»	 654966
_½	 618744
´ë	 607991
£	 603388
i	 601995
¯	 597810
å	 589853
½Ã	 588619
_Ã	 587866
Ô	 586202
¸®	 586114
¸¦	 586100
é	 585716
n	 584952
