_	 3755579
a	 883762
e	 806718
i	 542279
n	 481729
l	 475457
a_	 382204
r	 369254
t	 365564
d	 348036
u	 341060
s	 299507
e_	 296902
o	 291956
c	 279954
_d	 243478
de	 210533
m	 205989
_de	 181255
l_	 178504
,	 161715
,_	 160696
p	 157098
'	 157068
_l	 150852
n_	 145017
g	 130558
_c	 129427
.	 125139
_a	 120596
de_	 119159
_de_	 115764
h	 115039
._	 112743
la	 98806
el	 98015
f	 92798
er	 92552
_,	 90232
_,_	 90030
_e	 89463
_s	 88582
ta	 88098
en	 87247
in	 87166
un	 83602
i_	 82729
_p	 80670
el_	 79691
al	 77879
an	 77753
b	 74458
_i	 72950
la_	 72372
v	 70842
t_	 70112
ra	 69832
na	 69047
l'	 67074
_l'	 66113
re	 64617
:	 63812
nt	 63387
_la	 63132
_.	 62301
ar	 61743
_._	 61577
_la_	 60679
cu	 58053
'e	 56625
it	 56474
del	 55989
u_	 53204
ch	 53055
)	 52372
del_	 52230
_cu	 51951
(	 51759
:_	 51239
es	 51237
on	 51018
ia	 50814
te	 50582
na_	 50270
z	 50003
_del	 49631
_t	 49358
st	 48713
_del_	 48562
ri	 48215
_e_	 47442
_'	 46992
'e_	 46712
l'e	 45808
_l'e	 45687
_(	 45221
da	 44928
um	 42629
r_	 41935
o_	 41327
l'e_	 41166
_l'e_	 41095
_in	 40302
_f	 40118
si	 39872
_m	 39850
me	 39793
di	 39515
al_	 39415
ca	 38764
_a_	 38728
mu	 37709
L	 37293
ma	 36670
is	 36406
co	 36370
or	 36337
_g	 36173
E	 35905
ita	 35648
se	 35453
po	 34977
nd	 34681
un_	 34264
at	 34143
in_	 34110
_L	 33668
'n	 33585
cum	 33498
_'n	 33457
_E	 33271
li	 33019
_u	 32676
iu	 32667
ur	 32612
_cum	 32453
pe	 32330
fi	 32114
he	 32108
)_	 31947
tr	 31909
k	 31132
s_	 30762
ti	 30606
ol	 30254
umu	 29727
?	 29501
cumu	 29123
_cumu	 28934
aa	 28634
_al	 28261
_in_	 28213
ic	 28163
ss	 28120
et	 27914
da_	 27609
S	 27568
sa	 27159
ro	 26873
nc	 26873
ent	 26725
nt_	 26004
_ch	 25918
pa	 25915
_di	 25874
eg	 25806
ab	 25527
ra_	 25511
le	 25495
su	 25308
che	 25174
er_	 25060
ci	 25057
El	 24931
per	 24909
_El	 24743
_r	 24680
El_	 24456
_El_	 24363
_co	 24282
-	 24087
as	 24077
en_	 24033
pr	 23748
ta_	 23707
I	 23491
om	 23349
aa_	 23228
ve	 23093
_un	 23026
gh	 22968
io	 22941
A	 22819
ni	 22772
zi	 22394
he_	 22379
am	 22168
ad	 21863
to	 21722
_b	 21700
h_	 21554
gi	 21411
_v	 21321
C	 21249
_che	 20970
im	 20894
_ab	 20812
_al_	 20611
_el	 20480
_pr	 20469
va	 20249
_su	 20181
_S	 19890
ter	 19833
ia_	 19807
ha	 19695
km	 19672
cc	 19644
bi	 19601
che_	 19432
ba	 19388
_I	 19129
ul	 19001
_el_	 18904
us	 18867
_da	 18828
rt	 18774
m?	 18649
km?	 18601
_i_	 18574
tan	 18104
mu_	 18046
umu_	 17927
_C	 17874
_se	 17855
'na	 17760
_'na	 17735
'na_	 17718
_'na_	 17698
cumu_	 17686
tu	 17552
_A	 17491
m_	 17312
_pa	 17293
_o	 17268
_che_	 17199
on_	 17161
iu_	 17112
t:	 17021
no	 16899
em	 16728
cun	 16616
'h	 16511
_te	 16506
mi	 16437
una	 16200
so	 16196
a,	 16149
_)	 16105
a,_	 16075
ch_	 16049
men	 15953
ng	 15861
'ha	 15823
_n	 15813
_cun	 15753
ap	 15731
ns	 15660
ist	 15567
sta	 15552
B	 15513
mun	 15506
anc	 15428
P	 15345
_re	 15331
-_	 15307
abi	 15304
ig	 15255
ha_	 15216
ce	 15150
il	 15142
R	 15079
_pe	 14978
h'	 14947
oc	 14924
res	 14863
ne	 14857
M	 14789
'ha_	 14768
ent_	 14751
ant	 14734
bit	 14536
ga	 14462
La	 14448
_gh	 14396
bita	 14246
_ba	 14199
abit	 14123
abita	 14050
_po	 14019
itan	 14018
ru	 14007
hi	 13869
ee	 13749
_ma	 13746
ac	 13720
op	 13655
_abi	 13650
_abit	 13626
bitan	 13604
gn	 13578
ina	 13574
pu	 13509
par	 13452
_k	 13449
_st	 13426
ca_	 13330
up	 13287
era	 13284
sc	 13273
t:_	 13174
az	 13131
'l	 13111
di_	 13060
_per	 13058
lt	 13017
mun_	 12966
ua	 12963
_P	 12950
ll	 12939
se_	 12937
ura	 12914
_da_	 12874
gh'	 12840
if	 12830
_gh'	 12794
una_	 12731
c_	 12682
_La	 12665
bar	 12593
fe	 12589
gr	 12551
_en	 12550
x	 12519
'l_	 12511
_km	 12491
lo	 12451
_M	 12375
/	 12373
lu	 12297
pre	 12204
eri	 12013
_so	 11974
d_	 11931
_tr	 11927
D	 11892
j	 11880
iv	 11860
_me	 11844
r:	 11834
ie	 11818
tra	 11803
ion	 11657
_di_	 11627
fo	 11536
_)_	 11519
_par	 11509
_km?	 11479
I_	 11478
fa	 11456
ag	 11448
?_	 11427
_-	 11424
va_	 11424
and	 11405
tal	 11400
pi	 11390
umun	 11354
ncc	 11349
_ci	 11329
str	 11303
ma_	 11269
ali	 11255
vi	 11255
_una	 11247
_una_	 11240
id	 11234
mo	 11212
q	 11179
cumun	 11168
_B	 11133
G	 11063
fin	 11055
r:_	 11047
_bar	 11031
La_	 11011
ec	 10923
_R	 10916
umun_	 10899
'n_	 10887
