_	 41057888
о	 10846721
е	 8588321
а	 8548716
и	 8490764
н	 6998826
т	 5908523
с	 5742796
р	 5694726
в	 4689455
л	 4434637
к	 3574181
м	 3024501
д	 2965358
п	 2653049
у	 2305645
я	 2112473
ы	 2009668
.	 1870291
г	 1828765
,	 1790435
,_	 1777531
ст	 1659743
и_	 1656114
._	 1608035
з	 1587004
_п	 1564749
а_	 1553394
й	 1524190
_в	 1455686
б	 1444331
е_	 1442332
ь	 1399462
_с	 1393412
о_	 1323109
ни	 1279459
ен	 1257139
ч	 1250601
на	 1215175
ра	 1208377
но	 1204742
я_	 1164635
ов	 1134169
_и	 1084952
ко	 1081449
ро	 1039870
х	 1009682
-	 1009384
й_	 1007965
в_	 991530
то	 974704
ан	 971527
_н	 935004
ер	 925939
ре	 894547
_о	 887421
по	 879575
го	 858566
ос	 847353
ор	 837070
ж	 807130
од	 799309
та	 794118
ск	 741745
_к	 741270
пр	 735744
ал	 724243
_в_	 718027
ны	 710211
ол	 708639
ле	 699654
ль	 698699
во	 690559
-_	 689894
ли	 689691
те	 682305
м_	 675008
ри	 668010
ва	 668000
ом	 667044
ел	 642882
_по	 639185
e	 636393
ц	 630233
ка	 617985
ес	 614632
ет	 607803
от	 603394
_д	 595711
ю	 589659
ти	 580021
_пр	 577097
ин	 576316
не	 575285
ог	 573719
_на	 570304
он	 561383
т_	 557607
_и_	 552094
ат	 546464
ки	 545140
a	 540613
ве	 532321
_р	 531720
ло	 530785
ме	 528671
ла	 522470
х_	 520581
ш	 519479
ит	 513587
ой	 509253
ия	 503994
де	 499641
)	 498362
(	 496587
да	 488187
ь_	 484208
ис	 480871
_(	 473045
i	 470516
ени	 469763
ас	 468104
ар	 461507
_т	 460147
_г	 459887
тр	 455464
_м	 454645
С	 451036
ие	 450335
 	 449457
на_	 445116
r	 440041
_,	 439587
_,_	 436847
t	 435155
o	 434570
нн	 434422
n	 433702
_б	 431288
го_	 429254
со	 425289
ав	 425102
ем	 423181
ед	 419212
че	 418489
_-	 416411
ой_	 416327
_.	 409180
ил	 404604
об	 404192
ост	 400618
ф	 399037
ми	 397064
_._	 386101
за	 384048
В	 383951
