_	 41489137
a	 8473150
i	 8343832
e	 8038014
o	 6685309
n	 6008031
r	 4788241
l	 4343033
t	 4221868
s	 4145826
|	 4068825
j	 3362496
v	 3092088
k	 2635675
d	 2502271
a_	 2429192
g	 2393540
p	 2307687
|_	 2233068
e_	 2170346
,	 2083966
,_	 2071515
m	 2044150
z	 1911582
_|	 1863082
i_	 1769606
u	 1700691
c	 1631718
o_	 1509400
je	 1506070
h	 1493651
_p	 1372368
.	 1361171
_s	 1354768
||	 1321528
ig	 1305640
al	 1299234
b	 1298733
._	 1242160
li	 1231393
ri	 1226464
_,	 1154211
_,_	 1151689
na	 1102908
st	 1027439
je_	 1006250
in	 932375
ra	 910091
||_	 909955
ni	 875702
_i	 874237
_v	 860934
_||	 853691
_j	 848776
_n	 837018
an	 829932
_a	 821580
en	 802728
po	 780089
n_	 763242
ali	 759670
-	 749516
_je	 742010
ov	 735578
_z	 726757
_je_	 713151
_|_	 703377
pr	 699490
re	 691530
_k	 687727
=	 676949
_al	 659990
_ali	 646727
-_	 645142
no	 636008
gn	 632315
ht	 626517
_d	 625254
v_	 621948
lig	 619398
se	 617424
_o	 617150
ign	 616769
ko	 615766
ne	 615607
ta	 614537
rig	 613636
n=	 612962
gh	 611823
lign	 611098
alig	 611019
align	 610870
gn=	 610356
ign=	 610351
lign=	 610350
ght	 607983
igh	 607847
ight	 606791
_alig	 606165
righ	 604664
right	 604652
t|	 604399
le	 603527
t|_	 602488
ght|	 602331
ht|	 602331
ight|	 602331
=r	 602330
ht|_	 602236
ght|_	 602236
n=r	 602194
=ri	 602192
gn=r	 602191
n=ri	 602191
ign=r	 602191
n=rig	 602191
gn=ri	 602191
=rig	 602191
=righ	 602191
ve	 600903
_||_	 599711
te	 586073
sk	 580167
la	 578852
_po	 571009
el	 567131
ja	 566946
il	 565864
er	 553771
_pr	 550426
_t	 534481
za	 529077
_na	 527700
ti	 519166
_.	 517779
et	 515693
)	 513250
od	 513176
(	 512577
in_	 505566
_in	 499682
os	 496492
lo	 491791
_._	 490569
nj	 489834
na_	 488625
me	 487016
_in_	 472040
ka	 468594
ki	 465810
_-	 450727
va	 449381
or	 446670
l_	 446256
em	 444192
ed	 441490
ar	 437286
ro	 435951
_-_	 430596
_v_	 429196
to	 426099
lj	 425651
di	 422978
at	 412431
av	 412133
is	 402670
h_	 393854
_(	 391383
vi	 387197
ol	 383460
_m	 382980
m_	 382668
ce	 374056
ih	 366879
aj	 366229
ij	 365986
_b	 362780
as	 361190
_za	 361001
de	 360670
ci	 359658
es	 358899
S	 357232
ic	 354393
ik	 344218
da	 343549
ki_	 338491
vo	 331144
so	 327611
M	 322310
ga	 319951
bi	 318184
iz	 317306
im	 317155
_se	 316279
om	 313284
t_	 311799
_l	 307566
ih_	 307089
do	 306746
P	 298209
A	 296155
ma	 294943
ev	 293774
on	 293583
u_	 291871
_S	 286011
tr	 283930
eg	 283515
ot	 281939
ob	 279031
d_	 278196
ni_	 277885
no_	 276084
B	 274431
ji	 272267
ad	 269945
_)	 264915
)_	 264880
f	 264787
r_	 264674
_r	 263508
ke	 261033
it	 260388
_P	 260331
se_	 259084
pre	 258856
ja_	 255250
j_	 255128
sta	 252617
tu	 250889
pa	 250889
ost	 242705
s_	 242160
ez	 241722
go	 240350
nje	 239784
_so	 239212
jo	 238898
mo	 236794
ej	 235737
_na_	 229511
ga_	 227078
_u	 226508
ir	 224761
_st	 224085
si	 223872
(_	 223646
ca	 223246
ne_	 221612
_se_	 220430
z_	 217073
anj	 214247
az	 213776
zi	 213176
mi	 210689
ek	 209706
la_	 207775
am	 206903
D	 206470
|||	 206290
V	 205994
ud	 205429
ta_	 205383
_pre	 202725
sa	 201958
:	 201077
ec	 199647
pri	 198889
ak	 198679
ac	 198155
di_	 198026
og	 197531
R	 195822
ko_	 195132
dn	 194327
so_	 193418
_ko	 193037
F	 192252
li_	 192056
oj	 191606
N	 190605
ju	 190300
_bi	 190277
_iz	 188937
em_	 188250
T	 187070
jo_	 186522
:_	 186367
ns	 186252
_g	 185487
_pri	 183916
sp	 183727
L	 183519
oc	 181823
iv	 181580
ski	 180555
C	 179767
ega	 179681
_V	 179309
_le	 179099
|-	 178108
_|-	 178039
|-_	 177530
_|-_	 177511
il_	 177257
_so_	 177200
ti_	 175824
ze	 175363
za_	 174843
_M	 174541
let	 174394
bil	 174058
K	 173690
Z	 171992
op	 171940
_c	 171783
G	 169683
ove	 169114
_ki	 168581
udi	 167522
_do	 166820
oz	 166322
ok	 165068
ka_	 164501
dr	 164483
vn	 164102
zn	 164000
ega_	 163436
k_	 163160
kr	 161898
_R	 161473
sti	 160660
_te	 159928
bo	 158956
_za_	 157722
_D	 157489
us	 157429
_ki_	 157382
tud	 156943
_Z	 156362
sl	 156042
js	 155030
ter	 153167
tudi	 152781
_tu	 152071
a,	 151004
del	 150667
red	 150523
O	 150471
_T	 150371
a,_	 150098
tn	 149311
be	 148950
ru	 148289
al_	 148088
_de	 147984
jen	 147813
_L	 146986
_G	 146752
_N	 146660
udi_	 146561
_bil	 145191
ova	 145148
_K	 144877
er_	 143632
pi	 143169
eta	 142679
sto	 141154
_ob	 140446
cn	 140015
_pa	 139862
tudi_	 139742
nt	 139713
_me	 138872
_tud	 138005
_tudi	 137961
_od	 136667
bl	 136567
pe	 135847
ske	 135098
raz	 134233
gr	 133991
_let	 133754
_ra	 132753
rs	 131900
_ve	 130371
ri_	 129648
nik	 129206
men	 128368
ke_	 128054
nsk	 127593
tv	 127549
ln	 127237
rn	 126572
lov	 125584
I	 125408
c_	 125102
lje	 125090
?	 124894
