_	 41449759
о	 9772323
а	 8957299
н	 7832038
і	 6911029
и	 6272891
р	 5766202
в	 5490883
т	 5308882
е	 4959527
с	 4526713
к	 4042024
л	 3848005
у	 3393624
д	 3296262
м	 3039195
п	 2666554
я	 2185867
з	 2175075
ь	 1970792
.	 1929809
,	 1861969
,_	 1849397
а_	 1828152
._	 1672557
г	 1618876
_п	 1533931
_в	 1514195
і_	 1469324
б	 1425416
на	 1400485
й	 1364215
о_	 1324985
ст	 1301847
и_	 1246871
ро	 1237529
ч	 1232217
х	 1143878
ов	 1101099
я_	 1086325
у_	 1058883
ни	 1049465
ан	 1039530
ко	 1038932
_з	 1034506
-	 1030582
_с	 1025695
ні	 1020874
ц	 1016604
ра	 1005502
ер	 1001746
но	 981702
_н	 970128
та	 963047
ен	 936093
в_	 935064
ор	 818338
ва	 818086
ї	 814021
_р	 789263
ві	 773906
ал	 772236
ж	 765959
ю	 757387
по	 734977
_д	 728051
й_	 723664
го	 716907
_т	 713196
ог	 706917
ти	 706299
ом	 698591
ід	 690077
n	 687394
ви	 680858
_на	 678335
ри	 675668
ре	 665248
нн	 653793
ів	 653424
ш	 651502
-_	 641819
то	 639113
пр	 632946
_к	 622882
ьк	 621064
ос	 620727
s	 619417
на_	 616113
ль	 615555
_м	 611405
_і	 609577
ня	 604152
ла	 575131
ли	 569012
х_	 556616
од	 549090
ат	 545787
во	 545254
за	 543733
ка	 534300
ий	 530744
ки	 526497
e	 524335
он	 523128
ол	 521585
до	 517388
ого	 516538
м_	 512485
лі	 512026
)	 506960
сь	 505894
(	 504095
є	 503002
ав	 501098
_пр	 493076
е_	 490360
ло	 489717
_(	 487722
_по	 486886
_у	 485444
ть	 483957
ї_	 483542
рі	 482485
_,	 480188
ар	 479543
ці	 479252
_о	 478939
ння	 478382
_,_	 477784
те	 467287
ий_	 465079
_б	 464359
a	 463177
p	 455592
ас	 453400
го_	 444783
ін	 444352
;	 442180
ин	 440061
ськ	 436197
ого_	 435515
их	 434431
ис	 433049
мі	 430762
ь_	 429548
_за	 422498
не	 418361
_ро	 417338
b	 417171
іс	 416184
ні_	 416145
ф	 414151
_-	 413384
i	 407366
_.	 406222
ня_	 405135
_ві	 404218
ле	 403924
П	 393430
ик	 390957
ма	 389856
_в_	 389358
тр	 385513
від	 378948
_._	 378155
их_	 377422
им	 374689
ок	 374551
об	 362252
ся	 359961
&	 358597
_на_	 354948
_-_	 354650
sp	 354345
ми	 354328
ті	 353729
ння_	 353728
o	 352913
ит	 352737
bs	 350362
&n	 349878
nb	 349489
p;	 348733
bsp	 348624
nbs	 348484
nbsp	 348480
sp;	 348470
bsp;	 348468
nbsp;	 348467
&nb	 348466
&nbs	 348466
&nbsp	 348465
ту	 347993
_і_	 347148
ад	 346461
r	 343358
ку	 343113
ив	 341892
_П	 341624
ам	 339194
з_	 337837
ел	 337600
іл	 337136
ій	 335308
ди	 333983
ак	 328786
t	 326436
_а	 326431
мо	 326040
кі	 325730
да	 322477
іт	 321399
вн	 318494
_та	 318072
пі	 316696
пе	 313274
д_	 310950
енн	 308465
щ	 307761
_від	 307674
С	 303895
_ви	 303757
му	 303198
де	 303098
ся_	 296903
бу	 293334
ере	 291638
В	 291268
ста	 290863
_до	 289994
ув	 288930
чн	 288465
ої	 286443
ді	 286117
ля	 285597
ча	 285284
_у_	 284489
ю_	 283715
дн	 282205
ме	 281625
оз	 281265
про	 269309
ний	 267814
кр	 267407
_г	 265078
от	 264834
ван	 264834
ьн	 262200
ько	 262084
льн	 261603
ть_	 261425
К	 258741
ів_	 257890
та_	 257767
се	 256498
па	 255412
_В	 254876
ет	 254833
ії	 253477
_ко	 252534
ний_	 251722
ру	 251669
;-	 251437
p;-	 251329
sp;-	 251328
bsp;-	 251327
;-_	 251156
p;-_	 251068
sp;-_	 251067
ої_	 249113
_з_	 248417
анн	 247798
іст	 247430
нт	 247424
ем	 240759
_С	 239914
>	 239902
к_	 239310
<	 238869
?	 238174
ення	 237018
_ст	 236635
ве	 236025
_ч	 235216
ил	 235145
Н	 234952
l	 234018
_про	 230765
як	 228376
_<	 228348
:	 227764
пер	 227168
га	 226106
Д	 225821
)_	 225584
си	 224778
ул	 224594
ах	 223976
ова	 222835
нс	 222051
М	 220691
сі	 220130
ува	 218603
ну	 214970
У	 211732
ід_	 211681
ання	 211325
ти_	 210295
ьс	 210242
аль	 210160
_К	 210062
_я	 209588
_пі	 209244
:_	 207885
ай	 207188
них	 206981
ич	 206614
зн	 206193
ми_	 205060
вс	 204800
ек	 201471
є_	 201193
ою	 200643
_Н	 199929
_Д	 199111
н_	 197185
них_	 196008
ки_	 195721
із	 193663
_та_	 193327
ка_	 193293
ія	 193167
же	 193135
ед	 192925
тв	 192851
сп	 191998
ови	 191727
_У	 190160
іль	 189113
сл	 188783
при	 188427
_бу	 187486
ост	 187450
ес	 186858
бо	 186613
чи	 186600
_як	 186513
_М	 186123
ац	 186005
ур	 185567
ли_	 184698
гр	 184677
оп	 183488
ії_	 181130
сто	 180460
сн	 179249
со	 179121
ом_	 178105
че	 177671
му_	 177589
сько	 177057
ож	 176805
роз	 176650
аз	 176558
'	 175514
т_	 175487
_пе	 175407
лен	 174767
оло	 174464
u	 174134
ому	 173077
ьки	 173015
З	 172850
іч	 172298
тор	 172020
кл	 171687
хо	 171603
альн	 171510
ку_	 171339
А	 170266
Р	 169659
рн	 169519
_)	 168715
ск	 168600
ані	 168220
кт	 167674
ення_	 166514
са	 166309
ання_	 165601
_л	 165477
ист	 165444
тьс	 163718
ься	 163717
ться	 163655
тан	 163289
_не	 163176
що	 162565
бі	 161722
ног	 161449
