_	 3689886
a	 1504188
n	 976055
n_	 577440
a_	 534917
h	 532023
ha	 468932
_h	 464640
i	 453704
_ha	 452113
o	 421234
an	 404854
an_	 348074
s	 331487
u	 262972
g	 242487
han	 234716
d	 233984
han_	 232592
_han	 230611
_han_	 230461
ha_	 222793
_ha_	 220777
m	 204250
t	 204045
e	 195618
o_	 195164
r	 182505
l	 180034
_n	 163339
k	 150382
ga	 149950
ng	 136159
in	 134825
.	 127633
ka	 126348
A	 124913
._	 123696
_a	 122091
_A	 121438
am	 109227
_k	 108903
An	 108649
_An	 108254
_.	 107060
us	 107015
_._	 106631
An_	 106587
_An_	 106523
_ka	 103627
sa	 102294
nga	 101332
_u	 101131
_us	 98588
d_	 98215
ka_	 96316
mo	 96078
na	 95714
p	 95056
_ng	 94394
_nga	 94331
mo_	 92926
_am	 91908
amo	 91874
amo_	 91250
_amo	 90881
_amo_	 90865
sa_	 90581
usa	 88841
usa_	 88441
_usa	 88254
_usa_	 88241
y	 88031
in_	 85478
_ka_	 84293
_i	 83844
as	 80864
_in	 77003
,	 74941
,_	 74852
al	 73632
_in_	 73036
ga_	 69208
b	 67429
_na	 67280
gan	 66406
od	 65493
gan_	 64474
is	 64121
_,	 64043
_,_	 64018
so	 62751
od_	 61425
nas	 60079
aso	 59406
sod	 59084
asod	 59033
_nas	 59032
la	 59006
naso	 58643
sod_	 58642
asod_	 58611
nasod	 58610
_naso	 58596
un	 57978
c	 55949
to	 55121
ad	 53576
on	 53437
da	 52617
ngan	 50671
ngan_	 49506
_ngan	 47639
ta	 46369
pa	 46047
nga_	 44976
ni	 44902
-	 44311
to_	 44271
_nga_	 43902
it	 42647
_m	 42592
li	 42144
e_	 41397
st	 40534
hi	 40522
ar	 40266
mu	 38417
ri	 36908
mun	 35761
w	 35537
M	 35293
dad	 34835
S	 34603
si	 34525
_d	 33878
_M	 32464
ip	 32341
ra	 32259
ad_	 31827
_S	 31477
dad_	 30312
di	 29948
id	 29869
on_	 29516
tr	 28794
en	 28274
aw	 28148
ay	 27903
nis	 27848
yo	 27832
re	 27745
s_	 27427
uni	 27391
isi	 27321
ali	 27292
muni	 27032
ma	 26714
sip	 26714
ida	 26688
_mu	 26662
nisi	 26603
ist	 26545
isip	 26531
unis	 26514
munis	 26481
unisi	 26474
nisip	 26470
_mun	 26459
_muni	 26455
at	 26121
_an	 25882
ito	 25780
ig	 25517
str	 25502
C	 25291
_an_	 25239
ag	 25106
B	 24919
idad	 24814
rit	 24789
P	 24741
idad_	 24599
nt	 24511
ipa	 24467
istr	 24458
tri	 24390
pal	 24334
ito_	 24229
rito	 24182
lid	 24143
pali	 24075
stri	 24040
lida	 23995
ipal	 23972
alid	 23952
alida	 23919
lidad	 23918
ipali	 23914
sipa	 23893
isipa	 23856
sipal	 23855
palid	 23835
istri	 23806
_di	 23739
dis	 23622
er	 23606
trit	 23580
strit	 23573
trito	 23563
rito_	 23550
dist	 23287
distr	 23223
g_	 22793
ala	 22611
_C	 21771
es	 21592
_B	 21259
_dis	 21127
_dist	 21059
_p	 20704
_P	 20561
y_	 20447
_b	 19807
ne	 19595
i_	 19133
N	 18783
or	 18391
il	 18187
bu	 18071
iy	 17412
ba	 17376
do	 17327
_N	 17314
nd	 17107
_c	 16933
L	 16789
co	 16741
l_	 16593
ro	 16547
yon	 16431
law	 16256
_l	 16198
le	 16057
de	 15983
ya	 15833
Sa	 15740
yon_	 15457
ung	 15309
om	 15249
G	 15157
ang	 15144
(	 15100
)	 15019
ap	 15010
_(	 14937
iga	 14805
_L	 14792
gt	 14729
wi	 14710
_Sa	 14557
v	 14420
Mg	 14257
Mga	 14255
Mga_	 14255
_Mg	 14246
_Mga_	 14244
_Mga	 14244
ay_	 14190
ur	 14167
igan	 14136
igan_	 14003
t_	 13979
pi	 13952
hiy	 13926
_la	 13911
_bu	 13910
_G	 13785
awi	 13699
ne_	 13571
gto	 13566
)_	 13545
alaw	 13511
T	 13500
ngt	 13471
wig	 13417
lawi	 13408
ngto	 13385
awig	 13381
wigan	 13371
wiga	 13371
awiga	 13371
alawi	 13370
lawig	 13356
ungt	 13222
ungto	 13214
lal	 13213
sy	 13208
te	 13163
bun	 13142
_r	 13124
eh	 13122
ti	 13102
do_	 13074
gto_	 13044
lala	 13032
ngto_	 13008
bung	 12993
ara	 12882
bungt	 12843
_bun	 12840
_bung	 12831
_t	 12828
hin	 12796
ah	 12742
_re	 12736
iyo	 12672
I	 12635
ehi	 12591
tu	 12589
hiyo	 12520
iyon	 12490
hiyon	 12476
ehiy	 12463
ehiyo	 12448
Na	 12357
iyon_	 12335
ado	 12314
reh	 12279
lo	 12279
_co	 12256
ll	 12255
_lal	 12227
_lala	 12227
_Na	 12213
lalaw	 12199
rehi	 12181
_reh	 12157
rehiy	 12157
_rehi	 12153
z	 12143
_hi	 12115
sk	 12114
ab	 11991
_pa	 11752
_s	 11693
_T	 11624
ns	 11321
ado_	 11267
el	 11260
ata	 11193
Ma	 11005
nda	 10783
f	 10608
?	 10490
ska	 10472
ska_	 10413
usk	 10356
ai	 10342
uska	 10301
uska_	 10299
_uska	 10296
_usk	 10296
ul	 10288
na_	 10246
al_	 10231
_I	 10214
ina	 10067
no	 9980
D	 9872
ita	 9831
um	 9668
mi	 9631
_Ma	 9606
V	 9554
ng_	 9552
R	 9450
mg	 9235
mga	 9213
_g	 9196
mga_	 9186
ob	 9171
_mg	 9158
_mga	 9155
_mga_	 9153
ac	 9141
ui	 9053
H	 9037
_hin	 8916
ik	 8827
Ba	 8814
ini	 8794
su	 8718
rt	 8676
omu	 8599
sta	 8589
omun	 8544
_D	 8463
ch	 8456
ry	 8451
