_	 1045336
¡	 613321
¤	 489402
¦	 364194
¥	 331922
A	 227341
?	 214899
¡A	 197779
«	 184604
­	 180412
¨	 162833
³	 156991
°	 156703
C	 140425
ª	 131231
n	 122527
a	 121357
©	 118504
e	 118068
®	 115546
¬	 113010
¡C	 110114
§	 107048
s	 100584
i	 98971
µ	 97806
¸	 97793
±	 94799
¹	 92182
o	 91113
º	 87290
²	 84884
t	 84141
B	 83204
´	 82329
¶	 81403
·	 80785
@	 74296
Y	 73562
H	 72265
]	 72087
u	 71072
»	 70983
¼	 69058
r	 67396
Ó	 66599
P	 65032
h	 64075
À	 62051
«Y	 58762
¡B	 58740
~	 58696
½	 58368
l	 57210
¾	 56954
C_	 55470
¯	 53975
^	 53453
¡C_	 53276
Å	 52039
G	 49418
Ä	 48668
Á	 48495
v	 48129
_¡	 47163
m	 46329
N	 45317
¤@	 44469
¿	 43998
p	 43799
¡]	 43384
¡^	 43260
q	 42995
y	 42691
O	 42010
W	 41349
_¦	 40958
X	 40793
Â	 40559
D	 40454
_¤	 40333
d	 40118
ø	 40058
Î	 39551
£	 39280
Ê	 39174
Ã	 39107
¦P	 38996
ì	 38886
g	 38861
É	 38789
j	 37796
¦~	 37234
Æ	 36875
T	 36819
|	 36376
F	 36079
Ñ	 35999
L	 35995
¤H	 35894
¦³	 35569
c	 35303
w	 33616
ê	 33237
ô	 32454
ä	 31040
??	 30661
M	 30657
I	 30653
¤¤	 30076
A¦	 29879
ü	 29831
¡A¦	 28696
k	 28658
é	 28394
¤j	 28071
¡G	 28031
?¤	 27681
S	 27486
Ò	 27423
U	 26290
­Ó	 26066
ó	 25626
f	 25304
Ú	 25184
-	 25152
æ	 25141
\	 24888
A¥	 24418
_¦~	 24349
Ì	 24209
è	 24120
.	 23357
x	 23177
Q	 23154
¡A¥	 23072
b	 23045
Û	 22491
Ü	 22349
?¡	 22333
Ø	 22195
e_	 22122
J	 21971
ù	 21757
ë	 21753
Ç	 21682
¥X	 21400
°ê	 21213
á	 21150
¥H	 20996
ß	 20470
¬°	 20415
â	 20163
A¤	 20100
í	 19963
Í	 19952
ý	 19921
÷	 19752
·|	 19326
B¡	 19208
Ð	 19101
ï	 19011
`	 18960
¡A¤	 18910
õ	 18491
Ï	 18329
???	 18307
s_	 18237
_¥	 18130
^_	 18099
È	 18006
K	 17998
ú	 17996
Ê\	 17919
{	 17846
}	 17638
¡^_	 17599
n_	 17574
×	 17438
å	 17251
¡B¡	 17142
,	 17026
-_	 16671
®É	 16649
¡v	 16582
¡u	 16573
¤é	 16511
¤§	 16460
û	 16427
Õ	 16200
¦¨	 15992
¡n	 15852
¡m	 15844
Ý	 15808
R	 15775
¦a	 15744
þ	 15539
_-	 15534
¨ì	 15487
Ö	 15226
Ë	 15204
ç	 15128
©O	 14943
ò	 14866
an	 14847
³£	 14811
ö	 14747
er	 14746
in	 14740
_-_	 14309
«á	 14257
­ø	 14220
³¡	 14217
­±	 14132
¤ë	 14128
E	 14005
¤W	 13944
V	 13920
on	 13852
ÅT	 13817
´ä	 13790
[	 13650
._	 13611
¥Î	 13584
_¸	 13452
^¡	 13394
,_	 13360
¦Ó	 13342
)	 13295
´N	 13217
ñ	 13196
z	 13194
(	 13112
????	 12937
¡^¡	 12905
B¡B	 12886
?¦	 12627
²Ä	 12590
¡B¡B	 12568
®a	 12300
¦n	 12214
ð	 12128
¥Í	 11983
?_	 11866
®I	 11845
¥D	 11827
~¡	 11672
»´	 11594
­»	 11521
¦æ	 11502
C¦	 11492
v¡	 11324
A«	 11293
¤å	 11253
~_	 11189
?¥	 11076
¤è	 11048
¦h	 11035
¤½	 10986
¾Ç	 10904
¡A«	 10817
°µ	 10793
¤À	 10770
¥i	 10733
¹L	 10653
n¡	 10600
»´ä	 10595
­»´	 10534
¦W	 10533
­»´ä	 10531
¥Ñ	 10293
_?	 10277
P®	 10255
en	 10242
³Ì	 10237
¦~_	 10191
_­	 10163
he	 10020
µo	 9915
th	 9857
¨®	 9855
Ù	 9807
¶¡	 9780
¦P®	 9752
/	 9717
Y¤	 9630
à	 9613
a_	 9604
_¦~_	 9565
¯¸	 9492
_a	 9452
or	 9412
¤J	 9401
A­	 9365
­n	 9330
]_	 9326
_¡G	 9325
_¤ë	 9309
Ä¤	 9299
_t	 9285
t_	 9223
¡C¦	 9221
Ô	 9180
ar	 9176
¥»	 9153
A¨	 9053
d_	 9029
?????	 9017
©ó	 9001
¡A­	 8970
_¨	 8961
A_	 8931
î	 8931
¸g	 8899
¶}	 8859
µ¥	 8849
G¡	 8849
«Y¤	 8780
²Ä¤	 8688
±¡	 8665
°Ï	 8632
¡A¨	 8619
¥@	 8611
te	 8563
re	 8553
al	 8551
°Ê	 8531
­«	 8497
@­	 8493
m¡	 8490
C¤	 8485
Þ	 8441
)_	 8411
es	 8336
¥s	 8311
A©	 8298
¨Æ	 8289
Y¡	 8286
·s	 8277
at	 8275
B¡B¡	 8270
¤U	 8264
i¥	 8259
¡B¡B¡	 8257
ng	 8236
§@	 8218
H¤	 8207
_°	 8193
_.	 8190
¤@­	 8158
ã	 8140
¨Ó	 8117
]¬	 8111
?¡A	 8102
P®I	 8093
¦P®I	 8083
_¡]	 8053
¦Û	 8043
¤T	 8025
¡A©	 8025
ti	 7948
Z	 7946
n¦	 7924
­û	 7917
©Ò	 7901
¬F	 7885
¡v¡	 7854
¥ç	 7807
?¤H	 7793
G_	 7685
ªk	 7682
]¡	 7662
_¡A	 7651
_C	 7643
_(	 7629
ªº	 7615
ªF	 7612
¦~¡	 7604
@­Ó	 7560
y_	 7552
¤@­Ó	 7549
¸¹	 7543
¨ä	 7526
¡G¡	 7512
¤Q	 7508
¥Á	 7505
B¡B¡B	 7502
¦è	 7469
@¡	 7467
is	 7454
ªÌ	 7446
¢	 7445
A¡	 7444
«e	 7438
¥i¥	 7410
le	 7408
H¡	 7386
H_	 7382
ºØ	 7362
B_	 7317
