_	 89735133
e	 24211648
a	 22116872
s	 14642567
i	 14262716
r	 13018467
n	 12268360
l	 12201134
t	 11974004
o	 10063426
d	 8073379
a_	 6984748
c	 6885128
s_	 6530961
u	 6389672
m	 5404700
_d	 5125081
p	 4768422
e_	 4672385
es	 4652989
de	 4383472
_de	 3734349
en	 3573521
_e	 3417925
.	 3305009
,	 3287909
,_	 3273207
er	 3211033
_a	 3051099
._	 2831477
b	 2830741
l_	 2756398
v	 2646137
g	 2633078
_l	 2621305
n_	 2616937
de_	 2607157
re	 2588724
_de_	 2544427
el	 2541691
es_	 2513795
_p	 2478028
la	 2358193
f	 2287720
nt	 2286354
ar	 2286298
ta	 2217806
t_	 2195721
al	 2165746
an	 2094706
on	 1987786
r_	 1975945
i_	 1923031
at	 1912042
_c	 1866989
ra	 1842290
h	 1812456
_i	 1786884
_s	 1769905
ci	 1708754
'	 1586026
st	 1563447
or	 1562058
:	 1509712
te	 1494561
el_	 1439729
la_	 1418399
ri	 1393829
na	 1385888
se	 1376563
ia	 1348070
in	 1339044
le	 1337668
un	 1330066
_t	 1326394
co	 1322297
q	 1304256
qu	 1279597
_i_	 1274351
_la	 1272487
en_	 1266458
ca	 1262153
me	 1258539
_la_	 1251863
pe	 1243680
ti	 1239413
_m	 1211170
it	 1210469
ue	 1170382
ent	 1169642
_el	 1158152
:_	 1154570
_f	 1143927
ic	 1104324
_,	 1102472
ls	 1100698
_,_	 1098634
om	 1085957
tr	 1041979
-	 1024951
ac	 1019895
ns	 1010674
va	 1010350
_a_	 1010321
_.	 1008096
am	 999663
ll	 982338
x	 980992
is	 976714
_._	 970529
_v	 966299
_co	 965024
ls_	 963875
que	 953107
li	 948499
ro	 946573
¢	 927920
E	 921785
‚	 891048
er_	 876838
_pe	 875368
per	 866704
y	 859439
_u	 849644
ts	 847028
A	 834895
_se	 826036
ol	 819349
)	 816868
(	 816637
_el_	 811198
nt_	 808298
_q	 805452
_un	 804199
ma	 804180
_qu	 801726
pa	 798190
pr	 796854
_en	 793279
ne	 788907
ia_	 773438
si	 772571
di	 768743
ad	 764057
da	 758842
al_	 753305
i¢	 751710
del	 750075
S	 744141
ni	 736589
_del	 728526
_es	 727404
ve	 718714
_E	 716409
men	 715705
po	 714885
_r	 704565
_h	 703368
os	 702448
_per	 693862
est	 691225
¢_	 683031
_(	 676786
res	 671625
io	 666367
nc	 665755
-_	 657119
…	 656062
C	 652898
d'	 650184
em	 649951
vi	 648363
_d'	 647398
_o	 646894
na_	 643625
les	 641479
o_	 639652
|	 635239
i¢_	 634778
to	 629872
ue_	 624862
mb	 622675
ci¢	 622645
ie	 622115
va_	 619420
L	 618508
P	 616225
_que	 615532
que_	 612811
‚s	 610444
rt	 608827
ts_	 607502
so	 600579
at_	 600463
_en_	 597107
ba	 596095
_va	 594109
_que_	 592498
l'	 591827
_l'	 587204
il	 586493
ar_	 585191
et	 584121
_A	 583797
els	 575669
ment	 572443
no	 571136
ns_	 569561
_al	 567674
fi	 563992
aci	 563940
tat	 563345
les_	 562744
els_	 561787
rs	 556366
_re	 550355
_L	 549732
sta	 549215
lo	 544698
ha	 542349
_pr	 540302
_P	 539177
)_	 538582
s,	 538007
