_	 2348080
a	 913502
n	 468125
a_	 419750
s	 373131
i	 319060
sa	 287209
o	 287190
sa_	 275408
g	 273648
_s	 246518
u	 244429
_sa	 235245
_sa_	 232937
e	 229407
m	 212989
t	 201980
g_	 176631
y	 164574
ng	 158912
r	 155930
l	 134568
p	 125090
ng_	 124271
k	 123885
an	 121573
h	 112573
.	 100651
ka	 99970
_m	 99338
o_	 98063
_k	 97563
._	 97184
ta	 93371
d	 91311
_u	 89971
_ka	 89699
hi	 86113
_.	 84341
yo	 84210
_._	 83917
ka_	 82892
_ka_	 82168
n_	 81558
in	 76048
on	 74219
_n	 72690
ang	 72479
-	 68570
na	 65005
ang_	 63949
ma	 61511
A	 61203
ay	 56930
pa	 56129
y_	 55455
_A	 54928
ar	 54024
ni	 53750
nt	 52543
on_	 51327
en	 50922
i_	 49586
to	 49479
re	 49380
us	 49084
ug	 49004
ga	 48664
_ma	 48344
ay_	 48202
_na	 47441
am	 47222
An	 46917
_An	 46498
Ang	 45815
_Ang	 45649
Ang_	 45633
_Ang_	 45504
iy	 45471
ah	 45290
_d	 44789
de	 44525
ug_	 44214
_ug	 44175
_ug_	 44089
yon	 43311
usa	 43263
K	 42783
ol	 42528
_us	 42460
_usa	 42431
im	 42401
_K	 42320
ini	 42239
ni_	 42111
tan	 42065
rt	 41973
mo	 41896
to_	 41526
me	 41284
yon_	 41234
usa_	 41226
b	 41097
_usa_	 41007
ahi	 40892
ent	 40208
ut	 40194
ini_	 40028
lu	 39960
may	 39346
nah	 39143
mu	 39080
may_	 39046
_may	 38963
_r	 38941
yo_	 38926
_may_	 38861
art	 38747
ep	 38601
him	 38522
Ki	 38507
nto	 38504
up	 38496
tang	 38484
_Ki	 38452
_re	 38374
men	 38334
_de	 38292
Kin	 38187
_nah	 38183
_Kin	 38142
iyo	 38119
ahim	 38114
par	 38100
eh	 38055
_mo	 37922
tang_	 37911
uta	 37883
Kini	 37878
_Kini	 37867
ment	 37845
hiy	 37814
iyon	 37769
nahi	 37734
_nahi	 37718
nto_	 37701
Kini_	 37696
hiyo	 37633
imu	 37615
ehi	 37611
utan	 37567
hiyon	 37541
iyon_	 37541
ehiy	 37526
ehiyo	 37521
reh	 37517
part	 37482
ento	 37473
nahim	 37431
rehi	 37417
ame	 37402
utang	 37401
_reh	 37400
_rehi	 37394
rehiy	 37391
rta	 37389
mento	 37348
ento_	 37328
himu	 37235
ahimu	 37227
mut	 37218
muta	 37197
tam	 37196
mutan	 37194
imut	 37180
himut	 37180
imuta	 37179
epa	 37123
py	 37114
dep	 37088
olu	 37077
lup	 37055
amen	 37048
mol	 37029
epar	 37010
arta	 37008
ament	 37005
_dep	 37002
pyo	 37001
epart	 36983
upy	 36947
_mol	 36947
lupy	 36946
lupyo	 36946
upyo	 36946
tame	 36945
depa	 36943
depar	 36942
pyo_	 36941
rtam	 36940
tamen	 36940
parta	 36938
artam	 36938
rtame	 36938
_depa	 36936
molu	 36899
upyo_	 36897
olup	 36897
olupy	 36895
molup	 36894
_molu	 36888
-_	 33236
,	 33228
,_	 33092
_-	 32264
_-_	 31888
la	 30980
ga_	 30959
nga	 23565
S	 23321
e_	 22642
_a	 22642
c	 22339
al	 21636
an_	 21230
s_	 20034
_S	 19904
ag	 19765
M	 19429
C	 19296
_,	 18977
_,_	 18942
_ng	 17895
il	 17787
_nga	 17493
er	 17040
as	 16869
w	 16424
P	 16215
B	 16040
at	 15984
_M	 15974
_p	 15688
ad	 15653
nga_	 15519
_nga_	 15103
li	 14784
es	 14641
ra	 14622
ba	 14427
ya	 14252
_an	 13810
is	 13630
ha	 12828
_P	 12811
le	 12720
_ang	 12674
_ang_	 12573
_C	 12359
_B	 12205
si	 12182
(	 12106
)	 12079
_(	 11981
d_	 11362
Sa	 11294
ong	 11222
t_	 11210
L	 10894
un	 10711
su	 10699
ab	 10685
aw	 10675
)_	 10439
ti	 10387
ul	 10360
ai	 10303
it	 10272
_Sa	 10184
_g	 9858
or	 9778
_t	 9769
ne	 9750
mg	 9594
da	 9565
mga	 9532
mga_	 9521
_mg	 9506
_mga	 9499
_mga_	 9495
_pa	 9351
gi	 9274
?	 9170
lo	 9147
te	 9041
l_	 8874
ong_	 8724
_L	 8682
v	 8494
_i	 8474
ur	 8444
T	 8350
ala	 8279
ll	 8271
ig	 8233
ri	 8230
ak	 8090
pi	 8043
st	 7994
tu	 7981
wa	 7954
ro	 7846
ip	 7770
no	 7541
ing	 7448
ap	 7439
ik	 7327
lan	 7311
G	 7306
ou	 7306
ain	 7145
od	 7145
ao	 7028
D	 6988
_T	 6962
Ma	 6938
??	 6934
ns	 6916
se	 6846
um	 6835
I	 6783
iya	 6782
el	 6677
t-	 6657
nd	 6599
ko	 6525
_gi	 6425
bo	 6336
f	 6288
_ni	 6284
r_	 6213
mi	 6201
om	 6192
e-	 6192
_b	 6162
N	 5900
sy	 5863
_G	 5835
es_	 5754
R	 5749
ie	 5692
og	 5654
_Ma	 5646
_D	 5637
ana	 5611
_l	 5576
int	 5552
V	 5542
au	 5536
awa	 5531
???	 5489
ub	 5442
han	 5419
ia	 5400
ya_	 5391
Mg	 5356
Mga	 5355
Mga_	 5355
_Mg	 5322
_Mga_	 5321
_Mga	 5321
io	 5277
yan	 5275
di	 5261
in_	 5214
_I	 5190
ill	 5103
nt-	 5098
Sai	 5067
aint	 5036
ran	 5025
lle	 5023
Sain	 5013
os	 4997
ika	 4995
