_	 6820022
n	 1697774
a	 1532402
e	 1412572
i	 1263986
o	 1028542
s	 965098
t	 817429
n_	 788957
y	 779841
l	 652945
an	 543141
r	 456224
k	 452565
e_	 448533
on	 403884
yo	 367035
i_	 365154
p	 360873
m	 351166
a_	 296803
en	 287184
_s	 281755
sy	 269949
yon	 263920
an_	 263398
on_	 261889
v	 246394
ti	 244531
yon_	 240174
w	 232241
d	 227240
Š	 222166
_a	 217136
ye	 208979
.	 205577
na	 204267
k_	 197969
_l	 197666
as	 196209
u	 196103
_n	 189270
._	 188254
syo	 188201
syon	 188178
,	 182941
,_	 182646
g	 173284
_na	 172307
asy	 171247
asyo	 171188
asyon	 171185
it	 170263
f	 166399
nan	 165710
_nan	 165288
nan_	 165236
_nan_	 165095
syon_	 164750
s_	 161577
ik	 160936
en_	 159765
te	 156916
la	 156700
ns	 156137
re	 156009
ou	 155255
ra	 155013
_p	 154927
_y	 150902
_yo	 150371
yi	 147945
A	 145487
_A	 144264
K	 143633
_K	 143351
_r	 142286
is	 137511
yen	 137041
se	 131418
_e	 131095
t_	 130106
li	 130070
•	 129085
st	 128672
te_	 126887
_.	 124706
sa	 122222
l_	 119051
_k	 118895
_._	 118678
o_	 118465
_re	 117322
_sa	 116175
ns_	 114966
_d	 114020
ta	 112414
se_	 112065
yen_	 111299
ma	 111266
b	 109148
il	 107085
pi	 105919
el	 105738
vi	 104754
sa_	 104101
_sa_	 103555
iti	 101797
wo	 101600
_se	 100551
nt	 99172
_m	 98928
_se_	 98472
ans	 98311
P	 94202
yo_	 91699
at	 90932
:	 88760
las	 87833
ep	 87399
ti_	 87109
Ay	 86979
_Ay	 86952
Ayi	 86931
_Ayi	 86908
lasy	 86904
lasyo	 86881
I	 85793
et	 84768
_P	 84247
ik_	 83021
no	 80809
om	 80185
_yo_	 80160
_:	 80061
_I	 79635
ak	 78813
wa	 78450
al	 77382
E	 77220
_,	 76801
_,_	 76731
man	 76707
_E	 76294
sye	 76286
wa_	 76144
:_	 76040
ri	 75934
fe	 75809
er	 75335
z	 75158
tw	 74881
de	 74533
_:_	 74407
pi_	 74279
isy	 74160
epi	 73941
twa	 73929
ans_	 73645
twa_	 73626
epi_	 73609
Is	 73504
_Is	 73494
stw	 73471
stwa	 73401
stwa_	 73388
Ist	 73325
_Ist	 73323
Istw	 73312
Istwa	 73312
_Istw	 73311
ela	 72959
syen	 72921
isye	 72830
isyen	 72772
elas	 72474
elasy	 72443
_t	 72344
yis	 71544
yisy	 71470
yisye	 71441
ko	 70270
_an	 69939
ka	 69056
ran	 69012
