_	 4278499
a	 1804219
n	 1119109
i	 930335
e	 598302
g	 526050
u	 523774
s	 504557
r	 494347
t	 463758
an	 439197
k	 415536
ng	 380170
l	 368490
a_	 304954
o	 304286
m	 275785
d	 267238
n_	 256424
in	 241244
h	 236010
g_	 226310
ng_	 223403
p	 221905
b	 207175
w	 179548
sa	 179524
,	 177246
,_	 175458
i_	 174738
.	 167292
an_	 163868
ra	 158433
ka	 151296
ing	 149033
_s	 143703
la	 140881
._	 139955
ar	 139774
_i	 135235
ing_	 132543
ta	 130862
j	 130637
at	 129487
‚	 128184
en	 125427
al	 123868
_k	 123120
-	 111158
ang	 110559
:	 108305
si	 106494
un	 102101
y	 98494
ga	 98199
ik	 97163
_,	 96189
_,_	 95936
_d	 93348
na	 89786
ba	 88920
P	 87770
S	 87036
_p	 86588
ak	 84230
K	 83812
:_	 83599
ah	 82912
_K	 78139
_sa	 77080
c	 76702
ni	 75971
_P	 75425
ma	 73910
wa	 72991
pa	 72842
_.	 71623
er	 71504
h_	 71032
D	 69837
ku	 69507
_in	 69110
_S	 68543
s_	 68535
on	 67639
ha	 67101
as	 66877
am	 65054
es	 64861
_ka	 64798
_._	 63914
_ing	 63404
te	 63304
u_	 62198
_D	 60977
di	 60649
ya	 60534
ab	 60208
li	 59440
aw	 59183
_m	 58201
-_	 57659
_ing_	 57618
_ik	 57614
_l	 57252
nt	 56938
_t	 56334
_a	 55880
_n	 55795
it	 54865
‚_	 54633
r_	 54569
(	 54286
)	 54240
ur	 54154
ala	 54028
is	 53888
wi	 52146
ro	 51692
_-	 51301
ran	 51222
Š	 50849
B	 50337
ara	 50297
lan	 49052
e_	 48774
_j	 47974
ri	 47760
nd	 47681
el	 47494
_(	 46955
tu	 46842
sa_	 46655
_w	 46379
_b	 46214
kan	 46039
us	 45314
ah_	 45212
ti	 45129
f	 45103
bu	 45053
ki	 44618
re	 44230
ata	 44211
da	 44073
_B	 43928
em	 43438
ji	 43213
_-_	 42828
t_	 42569
ang_	 42435
mb	 42356
ana	 42336
ja	 42289
eng	 40792
ut	 40737
mi	 40473
Ka	 39703
_la	 39364
ung	 39179
dh	 39173
_Ka	 38956
ad	 38925
?	 38445
nin	 38433
)_	 38117
_u	 38062
ning	 37952
th	 37950
ku_	 37632
iku	 37346
ra_	 37215
tan	 37057
ning_	 36995
A	 36748
nga	 36470
_si	 36436
v	 36227
or	 36134
lan_	 36104
l_	 35772
le	 35730
_di	 35618
M	 35586
pu	 35413
du	 34129
_lan	 33965
ge	 33903
iku_	 33753
si_	 33650
ne	 33536
ia	 33468
k_	 33327
il	 33085
Pr	 32831
_Pr	 32566
pe	 32299
_lan_	 32135
ca	 31850
ij	 31830
gg	 31760
ngg	 31355
lu	 31297
o_	 31271
ke	 31232
T	 30954
_M	 30895
iki	 30600
_iku	 30449
ul	 30309
I	 29821
_iku_	 29815
up	 29815
hi	 29484
ka_	 29209
gan	 29202
ini	 29097
iji	 29044
en_	 29008
_A	 29002
se	 28959
uk	 28782
ns	 28602
ki_	 28529
??	 28351
‚s	 28151
Šn	 27981
ed	 27698
me	 27613
ga_	 27599
ama	 27429
awi	 27221
iki_	 27203
ant	 27009
st	 26957
aka	 26953
R	 26845
_iki	 26842
_T	 26629
ir	 26455
aba	 26347
han	 26222
_r	 26172
De	 26150
san	 25980
‚sa	 25906
_:	 25905
nal	 25801
ali	 25788
ara_	 25707
_kan	 25702
_pa	 25563
jin	 25483
/	 25471
ru	 25461
_ba	 25458
_iki_	 25398
Si	 25338
awa	 25145
us_	 25000
m_	 24984
_Si	 24817
Pra	 24760
_Pra	 24663
jini	 24458
ijin	 24439
_De	 24326
ap	 24296
um	 24276
la_	 24273
aha	 24230
inin	 24062
ining	 24041
upa	 24017
pat	 23800
jinin	 23800
ijini	 23790
de	 23684
gi	 23671
ay	 23494
lah	 23494
et	 23474
ug	 23416
ngan	 23374
pr	 23364
_R	 23324
itu	 23279
saw	 23193
gk	 23042
ngk	 22986
ung_	 22945
nu	 22925
_saw	 22723
sin	 22717
abu	 22603
mba	 22530
n‚	 22432
ip	 22375
_pe	 22369
uw	 22317
tan_	 22306
sal	 22250
--	 22142
bar	 22100
vi	 22051
_I	 22022
???	 21961
Ke	 21943
lo	 21875
ura	 21791
J	 21722
lah_	 21715
nsi	 21614
he	 21537
_:_	 21521
W	 21458
sawi	 21413
_sawi	 21340
ov	 21316
wij	 21275
ala_	 21242
nan	 21212
be	 21115
ta_	 21094
Ba	 21082
wiji	 20945
d‚	 20935
awij	 20877
awiji	 20722
