_	 5078783
а	 1829783
?	 1472852
ы	 1141591
е	 1082632
н	 1005915
р	 865818
т	 857678
л	 762074
і	 719445
д	 652614
с	 567118
м	 411468
о	 405209
к	 398847
_?	 368889
б	 316770
.	 307601
?а	 299128
и	 277774
н_	 274836
._	 273167
ар	 270205
у	 250209
?_	 244467
ан	 239241
ж	 235881
ы?	 235646
,	 233067
,_	 231333
ы_	 221719
з	 218961
да	 209250
та	 205620
й	 204992
_ж	 203139
ын	 201606
ал	 200576
п	 199785
а_	 190294
_б	 189355
ш	 182053
г	 181366
а?	 179032
ер	 177614
ен	 166861
?ы	 166636
_т	 163137
нд	 161215
ы?_	 155985
ла	 155406
_а	 154951
-	 152901
е_	 148043
ды	 146054
де	 144396
і_	 140633
ін	 136696
_к	 132970
лы	 132057
ты	 130942
ас	 122250
ра	 115728
ны	 112525
_?а	 111925
ат	 111282
ыл	 108479
те	 107545
ст	 106571
ай	 105952
_с	 105768
сы	 105130
ры	 103936
ке	 101790
р_	 101041
_м	 100131
ме	 100130
на	 99934
?р	 95959
не	 95486
ді	 94040
ті	 92773
ен_	 91687
ол	 89822
ба	 87934
ан_	 85978
ет	 84380
_о	 84081
рі	 83265
ма	 78219
нда	 78063
ле	 77364
т?	 76722
?ан	 76617
?т	 74313
-_	 74234
ір	 71502
?л	 71344
??	 71182
лд	 71058
жа	 70820
я	 70281
ау	 69738
ге	 69642
_д	 69406
_-	 68659
ала	 67823
рд	 67639
ор	 67490
са	 67041
ыс	 66932
?н	 66081
ел	 65845
ек	 65580
ны?	 65334
?с	 64444
гі	 64363
А	 64299
да_	 64068
ы.	 64067
ары	 64027
ы._	 63358
ыр	 62949
ес	 62704
i	 61836
_жа	 61716
ны?_	 60913
ад	 60446
_ба	 58773
_-_	 58770
ынд	 57189
лі	 56999
а?ы	 56080
к?	 55529
_т?	 55498
аз	 55162
тт	 54743
_е	 54687
ам	 54236
ж?	 53460
іл	 53393
алы	 53193
ік	 52551
)	 52544
лы?	 52239
_ж?	 52059
тар	 51652
ре	 51530
ды.	 51419
в	 51242
ында	 51170
сі	 51103
(	 50969
ды._	 50864
лар	 50328
і?	 50281
ері	 49697
мен	 49649
п_	 49616
л_	 48897
_к?	 48851
_А	 48332
ды?	 47514
асы	 47436
ста	 47312
ия	 47022
бо	 46525
л?	 46436
кт	 46253
_(	 46232
_ке	 46212
рт	 46049
у_	 45694
?ы_	 45691
ні	 45687
ем	 45632
і?_	 45528
ын_	 45298
не_	 45164
?ар	 44778
_ш	 44328
за	 43899
e	 43872
ара	 43772
бе	 43707
х	 43097
де_	 43084
к_	 42934
_бо	 42822
шы	 42536
нде	 42261
a	 41838
?з	 41714
?а_	 41686
ей	 41679
ым	 41432
сын	 41235
ег	 41111
_та	 40738
мен_	 40688
аты	 40623
се	 40566
С	 40188
тер	 40175
бі	 39491
й_	 39387
|	 39343
ін_	 39322
ар_	 39321
?о	 39065
_|	 39047
ыны	 38518
он	 38138
ады	 37969
і.	 37878
ша	 37630
рл	 37517
і._	 37502
ед	 37371
нда_	 37335
ына	 37289
с_	 36600
рын	 36577
Б	 36568
дар	 36445
_ме	 36346
л?а	 36056
_??	 35996
кі	 35957
ды?_	 35906
ып	 35752
уы	 35403
же	 35284
_?о	 35217
с?	 35038
ылы	 34975
?не	 34764
К	 34705
о?	 34637
па	 34313
інд	 34194
бол	 34009
?ан_	 33961
аны	 33400
мы	 33361
ка	 33285
тан	 33242
ші	 33236
р?	 33119
)_	 33094
t	 32929
_бол	 32918
жы	 32866
а?а	 32527
_Б	 32460
_п	 32283
то	 32029
ім	 31986
?та	 31855
ард	 31479
_са	 31354
n	 31311
ж?н	 31252
_ж?н	 31105
?ал	 30993
йы	 30958
ыны?	 30705
О	 30652
_н	 30642
т_	 30630
анд	 30520
мд	 30451
ады.	 30393
н.	 30366
Т	 30343
зд	 30323
_де	 30288
ыз	 30196
тын	 30104
ген	 30092
ады._	 30084
?аз	 30036
лы?_	 29997
аза	 29939
ф	 29872
ыны?_	 29849
ри	 29779
н._	 29722
інде	 29648
_К	 29637
?не_	 29291
е?	 29206
_С	 29148
?ын	 29028
м_	 29022
іс	 29021
ер_	 28807
o	 28657
ты_	 28476
йд	 28395
ж?не	 28378
_ж?не	 28351
ында_	 28336
ж?не_	 28269
ді.	 28225
із	 28221
сы_	 28198
_жы	 28121
на_	 28096
_,	 28073
ин	 28000
ді._	 27976
т?р	 27804
_?ы	 27638
_ор	 27530
ру	 27482
_,_	 27478
r	 27310
_бі	 27119
ни	 27061
_ал	 26963
Ж	 26943
М	 26935
ты?	 26906
_же	 26902
б?	 26882
лды	 26789
рды	 26619
аб	 26567
лы_	 26538
ры_	 26491
рі_	 26470
рін	 26434
алы?	 26368
аст	 26354
_?аз	 26288
гі_	 26145
жыл	 26139
бас	 26074
дан	 25998
еті	 25989
ні?	 25966
лер	 25922
ік_	 25910
л?ан	 25821
_Т	 25718
ы?ы	 25689
_О	 25653
_т?р	 25546
бір	 25404
ап	 25379
s	 25370
ні?_	 25294
?д	 25007
арын	 24971
а?ы_	 24952
?м	 24870
зі	 24838
_б?	 24656
за?	 24637
ы,	 24532
?й	 24495
_жыл	 24434
ы,_	 24405
_Ж	 24386
еді	 24263
_?з	 24224
іні	 24050
з_	 24033
нде_	 24013
ды_	 23963
рг	 23864
егі	 23795
іне	 23719
уд	 23679
а?т	 23564
м?	 23542
со	 23517
ту	 23343
ары_	 23143
_?ар	 23097
а?_	 23089
ик	 23087
_бе	 23003
арды	 22828
?аза	 22793
?ш	 22675
?ст	 22487
н,	 22381
дер	 22362
лда	 22306
н,_	 22261
ше	 22238
да?	 22195
_бас	 22045
аш	 22033
тін	 21882
ал?	 21863
_М	 21695
ай_	 21677
