_	 35723878
i	 12616459
a	 10795017
s	 7500226
o	 6298751
r	 5446666
e	 5439896
t	 5246147
n	 4978169
u	 4354677
k	 3741068
m	 3497098
l	 3179454
s_	 3107199
d	 2454648
p	 2423465
.	 2390732
v	 2214866
._	 2155529
j	 1888790
,	 1806695
,_	 1803092
in	 1772739
o_	 1691743
g	 1661525
”	 1548677
as	 1489577
ai	 1457656
y	 1404631
_p	 1301688
i_	 1252328
b	 1252200
os	 1187088
ri	 1160296
÷	 1144228
ta	 1097112
_m	 1089311
is	 1063993
_k	 1052152
ti	 1043477
ia	 1037270
ni	 1032274
a_	 994894
’	 989744
_s	 961818
li	 957291
ra	 949878
÷_	 946178
ar	 930098
ie	 918000
_i	 906210
al	 905430
au	 894422
us	 855635
ir	 850464
ka	 844937
os_	 839661
-	 825721
en	 781626
as_	 762108
st	 749673
si	 740915
-_	 733741
pa	 707619
an	 697906
ÿ	 689892
_-	 683878
e_	 667957
_t	 666283
_d	 665380
_v	 661501
_-_	 655037
ik	 655027
to	 654121
ma	 649670
_a	 648573
r_	 628679
c	 620935
na	 609738
ini	 606458
io	 602538
er	 601839
|	 593935
uo	 593488
ij	 584179
va	 580737
im	 574466
et	 572970
vi	 555913
da	 554275
_pa	 553653
at	 552069
ki	 549614
m.	 545989
ai_	 534712
_m.	 521433
ja	 521001
nt	 516498
am	 511579
is_	 508800
mo	 504446
)	 504044
(	 503679
_ir	 497053
ir_	 496134
jo	 495592
_(	 495314
_ir_	 493355
_n	 490336
–	 483545
la	 482332
or	 473214
_,	 472632
_,_	 471811
ei	 467500
te	 466811
_b	 465405
mi	 464479
m._	 457038
oj	 454832
tu	 450061
ro	 448050
‘	 445210
di	 441592
i÷	 434426
_m._	 434056
ko	 432042
vo	 424147
on	 423645
me	 415616
s,	 414287
s,_	 414023
”s	 411717
ur	 409515
pr	 407774
_g	 402363
es	 399405
it	 398686
iu	 392833
”_	 390003
◊	 389302
?	 386309
ga	 385787
re	 368267
_ka	 367248
_|	 363504
u_	 362537
i÷_	 362252
su	 360383
i’	 358244
—	 349731
s.	 348708
je	 348624
f	 345513
av	 340920
s._	 338044
ve	 336041
tin	 333123
ne	 332145
_r	 331830
n”	 331296
om	 329086
_pr	 328330
us_	 326931
P	 324964
h	 321628
nk	 321277
el	 319208
—i	 315566
ad	 315201
no	 314226
z	 314017
_.	 311622
ku	 309307
”s_	 309137
uv	 305650
il	 302040
_l	 301374
_._	 299838
|_	 299030
iai	 296208
tr	 295938
)_	 295614
??	 295318
iau	 293543
id	 292513
pi	 291305
S	 290075
_‘	 289548
_su	 286988
gi	 286091
sa	 285565
rt	 285048
_P	 279891
A	 276721
–_	 276248
vo_	 272781
ijo	 270215
ali	 269685
”j	 269590
ap	 269144
tas	 266646
nu	 266375
ÿi	 265870
ol	 264969
se	 264515
ak	 262798
do	 261628
ek	 251883
K	 251042
ci	 249466
io_	 248771
mas	 245382
V	 244882
ng	 244258
ba	 244197
_va	 244172
aus	 244163
nd	 243945
le	 243455
???	 240442
_j	 240203
L	 238109
jos	 237538
I	 233789
ok	 233739
‘_	 231983
ot	 231323
iet	 230007
lo	 229474
usi	 227434
_da	 226393
T	 226361
||	 225691
