_	 21048546
а	 6346222
о	 5232237
и	 4698868
е	 4118083
н	 3486675
т	 3411552
а_	 2481981
р	 2472949
с	 2194823
в	 2016294
д	 1788653
к	 1779486
л	 1610463
и_	 1379462
на	 1370785
о_	 1289528
п	 1236458
е_	 1098546
у	 1030290
_н	 1013352
м	 1007292
_с	 856639
на_	 837221
ј	 827839
г	 783691
з	 780836
_на	 777834
_п	 768958
,	 718451
.	 707407
ат	 705557
,_	 701379
ни	 701221
та	 698076
_и	 648052
ст	 625716
ра	 620798
б	 620474
._	 615834
во	 612985
от	 588106
те	 587046
_на_	 582892
т_	 573725
то	 564065
од	 563353
_в	 560221
ен	 527733
ко	 521423
_о	 520923
ка	 482201
ва	 474957
_д	 469415
ја	 445871
по	 445607
ит	 438177
_к	 427438
ре	 424915
но	 415999
ан	 415106
ри	 409515
ч	 404038
се	 379171
та_	 368468
ц	 368443
пр	 364003
_во	 362059
_и_	 359140
ата	 358018
ти	 354749
ин	 353905
во_	 353071
ш	 348301
ов	 339862
_по	 337834
ите	 333796
от_	 325084
ор	 322495
ле	 319906
e	 319553
ли	 318179
_з	 316739
_во_	 313577
_г	 309315
д_	 308192
ата_	 307258
ет	 306825
_пр	 306453
де	 304817
за	 303709
ал	 302547
_се	 296669
те_	 293589
ро	 290078
ск	 289737
ед	 284703
го	 281475
иј	 280858
ија	 273955
a	 273198
ос	 269822
_од	 265578
ел	 264687
ув	 263776
ки	 260447
ите_	 259722
не	 259635
ви	 256071
ис	 255936
ува	 255812
да	 254715
ер	 253290
со	 252051
_т	 251373
ил	 250807
то_	 249641
_м	 249473
ме	 249291
ди	 248900
ла	 248529
_за	 244986
до	 244811
ар	 244409
ни_	 239729
_е	 239238
ол	 238668
ве	 236707
ж	 235860
ак	 235717
од_	 235525
н_	 235515
ек	 233903
i	 233168
_б	 229852
се_	 226446
ци	 225822
_се_	 223913
n	 223834
он	 222361
o	 221583
_ко	 218176
ав	 214948
_од_	 213266
ма	 209442
ој	 209224
ја_	 208256
r	 198712
ио	 195785
_со	 195330
t	 194686
_.	 194142
ло	 192620
ад	 191368
ф	 184087
ка_	 183724
ем	 183623
_,	 183157
_,_	 178772
s	 178745
л_	 178041
_._	 176620
би	 175465
тр	 174802
ес	 172678
_р	 171520
_го	 168951
ста	 163298
но_	 162067
)	 161458
(	 161114
њ	 158992
ик	 157981
ски	 155551
ина	 153953
_(	 153678
за_	 153537
ост	 152478
ас	 152046
_не	 149626
-	 148599
ва_	 148554
ат_	 148505
из	 147476
_е_	 147104
_за_	 145712
мо	 145394
ми	 144119
ир	 143184
ки_	 141965
ен_	 141357
ог	 139841
нат	 137901
вр	 136601
ај	 136536
С	 135319
иот	 135128
да_	 134562
l	 132838
им	 132509
а,	 131872
ив	 131690
со_	 130970
иот_	 130412
а,_	 129447
дн	 129441
ист	 129063
_со_	 129002
_да	 128895
шт	 128833
ње	 127937
_а	 127710
ија_	 127293
ом	 126116
па	 125290
об	 124688
гр	 124057
ани	 123781
ј_	 123682
П	 123268
_С	 121318
_ка	 119792
ени	 119444
пре	 119383
_до	 119264
ам	 118240
сто	 118103
_де	 117620
нс	 117576
ањ	 116466
_да_	 113878
ок	 112863
си	 112816
_П	 112435
ич	 112434
аа	 110653
Н	 110363
ко_	 109808
В	 109408
оди	 109169
у_	 107938
а.	 107301
ето	 106705
_би	 105374
ови	 104317
зи	 104147
ран	 104009
нт	 103227
ото	 103062
тв	 102222
га	 101902
а._	 101831
)_	 101217
_В	 101071
ање	 100979
_Н	 100826
оп	 100079
ру	 99893
_пре	 99662
дин	 99089
К	 98977
сти	 98098
ги	 97077
аз	 96605
ако	 96394
ку	 95149
_-	 94315
d	 94183
ната	 93939
c	 93870
про	 93460
иц	 93153
др	 91831
ој_	 91380
_у	 91309
лу	 91155
М	 91097
ски_	 90776
вн	 90400
ред	 90382
ои	 89864
бо	 89749
бе	 89708
h	 89629
ќ	 89480
_К	 89180
ден	 89102
че	 88819
-_	 88485
u	 88439
гра	 88315
нит	 87478
ира	 87309
лн	 86511
сл	 86178
ие	 85762
ту	 85505
и,	 85439
А	 85033
х	 84598
бил	 84484
_ст	 84204
год	 84076
ната_	 84026
и,_	 83806
_ј	 83455
ид	 83349
ува_	 83275
_про	 83052
ска	 82867
_ра	 82844
ба	 82437
m	 82295
?	 82286
:	 82015
при	 81772
вањ	 81259
_М	 81005
ако_	 80967
циј	 80555
р_	 80525
ап	 80411
ција	 80190
_-_	 80150
нос	 80005
ег	 79969
чн	 79618
О	 79472
ните	 79470
ти_	 79334
аат	 78905
_год	 78873
сп	 78569
ори	 78528
зн	 77012
и.	 76544
годи	 76467
бр	 76421
ест	 76324
кр	 76183
нск	 76170
ото_	 75998
пе	 75461
ле_	 75334
јат	 75110
аат_	 74989
_при	 74871
ев	 74643
ње_	 74570
_годи	 74111
_бил	 73945
кој	 73836
стр	 73692
оз	 73597
один	 73234
ла_	 72952
p	 72792
и._	 72602
ните_	 72497
:_	 72140
еш	 71990
годин	 71985
ика	 71805
_ш	 71686
сн	 71683
чи	 71543
кат	 71389
вање	 71117
_ф	 70952
e_	 70876
го_	 70744
увањ	 70561
_ја	 70523
ето_	 70278
ли_	 70232
ри_	 70165
_О	 69778
ур	 69618
как	 69391
ана	 69371
мен	 69065
дина	 68932
Т	 68439
ац	 68415
Д	 68250
ач	 68214
_А	 67986
На	 67458
како	 67257
Б	 67172
пи	 66836
рн	 66715
к_	 66404
ств	 66251
едн	 66100
_л	 65918
како_	 65899
_На	 65648
чк	 65628
ката	 65545
