_	 24030508
e	 7037316
a	 5284436
r	 4603379
n	 4154551
t	 4000056
i	 3611856
o	 3277054
s	 3156785
l	 2622775
d	 2211442
g	 2009132
k	 1866218
m	 1688406
e_	 1377593
r_	 1376197
v	 1340378
er	 1233968
ar	 1148532
n_	 1122318
t_	 1116440
en	 1072775
a_	 1032954
u	 1006407
f	 1005195
p	 966996
_s	 956659
de	 911047
.	 897998
an	 855583
._	 832526
g_	 772302
_o	 762156
i_	 749555
_e	 735465
in	 735334
or	 712692
st	 708772
te	 692020
,	 688068
,_	 685845
_a	 668754
h	 667106
et	 665663
_i	 645983
ei	 644987
b	 644271
_f	 639028
er_	 632944
re	 632583
j	 593092
en_	 563167
_d	 559344
le	 549778
og	 548551
ra	 539716
y	 513253
om	 512365
ar_	 498611
ti	 497109
ne	 489443
_i_	 485538
el	 484485
_t	 482202
_v	 477783
_og	 467469
_m	 463071
og_	 460559
_og_	 453596
me	 433051
m_	 422583
_de	 421556
ta	 410493
ng	 405596
la	 404484
nd	 400148
_h	 397452
il	 382894
d_	 378218
ve	 369524
va	 366153
sk	 365962
rt	 365438
et_	 360779
_k	 357781
l_	 356485
al	 349345
av	 336381
se	 335477
_p	 334339
om_	 330469
fo	 327900
is	 326513
nn	 322867
so	 321863
_.	 320255
tt	 314662
on	 311763
_._	 308700
_b	 307026
ri	 305019
_ei	 304428
v_	 299955
je	 298928
ha	 289532
es	 285563
na	 285179
pa	 284656
ed	 280986
for	 280754
ll	 280696
at	 280058
ke	 274966
li	 274305
_ti	 273728
ge	 267182
_so	 265316
_me	 261899
_av	 261420
_fo	 258355
av_	 256353
til	 253605
ga	 253073
ka	 250551
da	 248762
var	 248703
_,	 245623
_,_	 245072
_va	 243361
_av_	 241176
te_	 239239
ns	 238866
_er	 238837
_ha	 237147
it	 236186
eg	 235229
_til	 235226
-	 234554
to	 231565
_l	 230504
ik	 230243
S	 229914
_er_	 229271
_for	 225952
il_	 223596
ma	 219345
_pa	 218780
s_	 216178
_n	 214307
ing	 214224
ne_	 212806
as	 212203
som	 211990
re_	 211221
un	 209541
pa_	 206451
_var	 205289
si	 205196
_som	 204374
som_	 204266
til_	 204088
am	 201638
k_	 201207
_til_	 201180
rt_	 201047
ein	 199976
an_	 199973
_som_	 199713
in_	 198836
_g	 196754
and	 196743
den	 195838
D	 194010
sa	 193467
_S	 192949
_pa_	 191810
)	 187582
(	 186861
or_	 185818
art	 184850
ste	 183794
_(	 182644
rs	 181753
ter	 179883
ei_	 178220
_D	 177929
ed_	 177924
de_	 176383
ad	 175580
c	 173820
fr	 173703
tr	 172313
ro	 171537
nt	 171322
ra_	 169442
ol	 167482
id	 166947
ver	 166033
ko	 163292
kk	 162453
det	 160700
jo	 159103
_ein	 158577
_fr	 157685
ss	 157125
ein_	 155977
ek	 155417
_st	 155371
no	 153456
_u	 151426
rd	 151132
_r	 150282
_ein_	 149941
ru	 149929
fra	 149493
den_	 149242
ig	 146537
med	 146408
B	 146121
_-	 145169
_ve	 143927
der	 143603
vi	 143455
ag	 142599
nde	 142422
H	 141898
_fra	 141400
pe	 140980
for_	 140955
ut	 138918
ett	 138356
ak	 138156
_med	 137661
ell	 137434
tte	 136974
us	 136555
?	 135590
kt	 134562
det_	 133072
lo	 132708
_H	 132567
kj	 132049
he	 131916
op	 129559
-_	 128382
)_	 128030
A	 127986
ni	 127653
_for_	 127537
_B	 127323
De	 127103
sta	 127074
sp	 125680
sj	 125006
_De	 124121
ov	 123672
ke_	 122971
ld	 120719
med_	 120215
em	 119865
I	 118365
_den	 118088
lan	 116933
gr	 116923
art_	 116508
ane	 116330
lle	 116284
_med_	 115983
fra_	 115539
K	 115301
M	 114125
pp	 113919
_-_	 113802
kje	 113192
_det	 112794
F	 111549
_fra_	 111067
vart	 111066
be	 110617
leg	 110432
gj	 110080
di	 110045
N	 108994
sto	 108283
o_	 107917
vart_	 106651
ert	 105871
:	 105699
var_	 105486
ok	 104921
_K	 104428
_den_	 104046
T	 103417
_A	 103178
rk	 102642
_I	 102325
_se	 102249
est	 101765
_F	 100358
_M	 100172
dr	 99610
ist	 99515
nge	 99268
ir	 98073
??	 98057
_in	 97967
ia	 97456
ot	 97108
_vart	 96760
nga	 96757
_det_	 96748
st_	 96482
eg_	 96435
han	 96380
:_	 96298
ske	 96277
E	 95441
_var_	 95064
mi	 94931
ng_	 94897
gg	 94791
ten	 94606
ie	 94584
pr	 94575
tor	 94394
are	 94076
lt	 93517
sjo	 93484
_ko	 93402
ho	 93210
_la	 93056
by	 92838
ors	 92710
_ar	 91897
der_	 91784
har	 91706
P	 91419
enn	 91358
gar	 91206
ord	 91077
_N	 90696
isk	 90560
_si	 89722
ur	 89439
kr	 88713
_ut	 88696
nne	 88675
_T	 88603
_sa	 88584
inn	 87450
od	 87010
ba	 86878
tar	 86774
_om	 86586
_har	 86499
ja	 86069
_han	 85399
eit	 85330
ge_	 85006
men	 84739
dei	 84129
_E	 84073
r.	 83845
ul	 83745
ter_	 83498
ane_	 83346
it_	 83135
_dei	 83053
ste_	 82772
L	 82494
gje	 82366
har_	 81832
_a_	 81683
ske_	 81645
_har_	 81536
nar	 81232
opp	 81221
mo	 81123
ette	 80960
ent	 80649
le_	 80636
sl	 80635
r._	 80507
_sk	 80238
ts	 80073
_no	 79983
fa	 79539
br	 79532
_re	 79472
iv	 79108
_P	 78883
ikk	 78768
ara	 78627
®	 78408
¯	 78395
ta_	 78207
sk_	 77573
ren	 77033
dei_	 76880
_dei_	 76468
