_	 72060682
e	 25074243
r	 14039228
n	 13609419
t	 12803961
a	 10509412
s	 10491514
i	 10220634
o	 9982676
l	 8588040
d	 6570907
g	 5815110
k	 5545764
er	 5386335
m	 5122117
e_	 5037445
en	 4876162
r_	 4177026
v	 3723048
n_	 3648636
t_	 3634837
p	 3113815
f	 3106848
u	 2999033
te	 2868809
de	 2854073
_s	 2780893
.	 2674942
et	 2640405
er_	 2623675
b	 2530352
en_	 2447596
._	 2437234
h	 2358983
re	 2300719
or	 2300185
an	 2238351
_o	 2149908
,	 2126526
,_	 2118119
g_	 2006787
_e	 1999540
ne	 1985153
le	 1968075
st	 1967732
_f	 1910437
_i	 1896256
in	 1718042
†	 1713869
et_	 1639553
i_	 1638393
_d	 1572301
_a	 1561037
ar	 1501342
me	 1491047
og	 1485630
om	 1441219
el	 1433083
se	 1421545
ti	 1416106
_m	 1407328
_b	 1382245
_i_	 1380780
y	 1371637
_t	 1332196
_og	 1321018
ge	 1308705
ke	 1255162
il	 1244161
ng	 1241243
nd	 1240534
_h	 1230864
s_	 1207481
fo	 1206251
og_	 1200127
es	 1190257
li	 1185733
_og_	 1184223
m_	 1164032
sk	 1148517
j	 1146762
_de	 1137468
ve	 1111638
ed	 1105680
is	 1078736
tt	 1072483
d_	 1059120
†_	 1027137
_v	 1024069
ri	 1020378
ra	 1019840
for	 1015793
av	 998080
on	 987242
al	 985598
l_	 984611
_p	 964269
_k	 962558
nn	 959358
ll	 956513
so	 953101
_.	 929678
-	 922273
_fo	 909996
om_	 901947
ns	 900254
_._	 887306
ter	 882332
at	 870858
rt	 830423
la	 828778
_for	 823871
v_	 818694
ha	 798094
a_	 795825
te_	 791335
_,	 769619
_,_	 767367
_me	 766826
S	 762749
_av	 756217
ig	 749834
nt	 738940
_ti	 733388
_so	 722923
ta	 719515
)	 708931
(	 708691
av_	 707173
_en	 705444
ste	 705044
_(	 698216
de_	 694265
til	 685902
_av_	 683314
ne_	 680334
ik	 678752
_l	 662170
un	 662102
re_	 661705
ing	 655770
som	 650892
to	 648678
va	 648313
_ha	 643579
le_	 634516
den	 632438
or_	 631965
si	 626812
rs	 626566
_er	 619633
as	 619517
ar_	 616900
_til	 616562
som_	 615678
bl	 614465
_-	 612680
c	 612207
_S	 612183
_som	 610179
k_	 606671
ro	 597729
_som_	 597177
tte	 590115
D	 587914
ed_	 587760
ol	 582588
_er_	 579283
-_	 574900
_en_	 563170
il_	 560999
ere	 557676
id	 552059
_g	 549306
be	 545165
it	 544523
ene	 543043
ka	 542240
_n	 536954
der	 529991
je	 526496
)_	 526014
_D	 525119
_-_	 525096
_bl	 524336
am	 518779
nge	 511785
tr	 509581
pe	 507791
lle	 504450
til_	 500384
ni	 499119
_u	 498228
eg	 498155
vi	 497637
ke_	 496154
ko	 493874
det	 492720
an_	 489198
_til_	 486121
p†	 484850
he	 478299
_p†	 477346
nde	 476486
da	 475989
kk	 467862
nne	 466882
med	 466731
p†_	 459566
ut	 457957
jo	 456338
_p†_	 454209
ver	 452577
for_	 450859
H	 447089
_r	 445036
ma	 443769
and	 441110
_va	 433387
kt	 431853
B	 431257
em	 427096
A	 426849
ie	 426490
_st	 424540
ss	 422164
lig	 421911
den_	 421468
M	 419637
_med	 418662
ten	 416610
sp	 415283
fr	 414680
ek	 411674
ler	 411562
_for_	 409676
_H	 409276
sa	 407687
op	 405726
var	 404292
ble	 399653
mm	 399374
det_	 399155
rd	 398974
ett	 395671
ter_	 391872
lo	 391294
_†	 390255
no	 389911
na	 388574
I	 388421
med_	 388174
ls	 383322
od	 380460
men	 376204
ru	 375399
T	 373112
_med_	 371312
_fr	 371095
_et	 369118
lt	 367561
di	 367180
E	 367111
ag	 364487
ble_	 364168
gen	 363922
_ble	 361463
_B	 359462
est	 358864
pp	 356410
_ble_	 356326
_M	 352814
F	 349427
De	 347017
_se	 342563
:	 342476
ell	 341718
ov	 340973
sj	 339402
ger	 338126
N	 338073
_De	 335324
ks	 334737
ert	 333425
ner	 333357
sen	 333345
_var	 333280
ent	 330215
P	 329550
ske	 329272
pr	 328339
rn	 326092
rt_	 323729
_A	 323549
us	 323535
ser	 323468
mi	 323449
es_	 321455
ene_	 321177
_den	 321115
_I	 320277
gs	 320201
ak	 319775
_E	 318868
dr	 318694
_det	 318490
ng_	 318276
rk	 317319
ei	 317001
var_	 312410
:_	 311733
L	 311480
ren	 310360
mme	 308094
ors	 307968
ot	 306717
ad	 306639
fi	 305790
_var_	 305598
_T	 304316
ist	 303996
_in	 302155
K	 301017
_)	 300794
_F	 300158
tt_	 299673
ts	 299395
lan	 298896
inn	 298720
os	 298413
ho	 298324
ra_	 296437
ok	 296408
gr	 295833
R	 293811
fra	 293170
ge_	 288662
ans	 288641
C	 287609
ens	 286988
ikk	 285344
ur	 285336
_ko	 284857
ld	 284849
han	 282619
_ve	 281602
_be	 279938
_fra	 279735
kke	 278866
ul	 278711
_den_	 277281
_P	 276701
ba	 275864
len	 275572
_ut	 274790
r.	 273297
ker	 272876
‘	 272495
tter	 271946
ang	 271645
ette	 271471
gi	 271203
sjo	 270072
els	 268951
_det_	 268801
isk	 267932
;	 265656
end	 265626
ere_	 265371
tor	 265163
der_	 264660
_N	 263931
_†_	 263576
jon	 262745
del	 261932
ir	 261377
ove	 261229
r._	 261203
ga	 256298
kr	 255889
†r	 255560
_K	 252736
mo	 252228
sjon	 252144
_si	 251898
‘r	 250976
_L	 250867
ev	 250156
fra_	 249253
ske_	 247441
br	 246622
&	 245508
eri	 245421
inge	 244541
rte	 243899
sl	 243390
tet	 243082
nte	 242445
_fra_	 242409
opp	 241677
