_	 4717110
a	 1217454
n	 772178
e	 705825
i	 662396
s	 638406
l	 597199
a_	 527912
r	 511136
o	 503804
t	 469431
d	 411613
c	 349337
_a	 322020
ë	 238269
m	 231906
u	 226491
p	 218264
_l	 212741
an	 202178
e_	 201409
n_	 193613
h	 176541
_d	 169587
on	 167202
g	 164278
.	 161364
'	 158508
en	 157358
_a_	 155082
_c	 154359
,	 151134
l_	 150482
,_	 150139
nt	 142482
f	 135089
_p	 133383
._	 131572
_s	 129638
d_	 126076
_ë	 125524
ss	 118993
t_	 117191
b	 115830
co	 111458
si	 106833
la	 103438
à	 102044
é	 100043
ch	 98241
l'	 96276
-	 94987
ëd	 91473
_ëd	 91079
_an	 91049
é_	 91030
_l'	 90970
on_	 90478
as	 90144
le	 88724
ëd_	 87796
_ëd_	 87735
_co	 87673
v	 87667
io	 85656
ar	 85468
er	 82243
_,	 79692
_,_	 79418
is	 79161
ta	 78206
ra	 78166
st	 77623
he	 76723
A	 76623
na	 75268
_n	 74010
ël	 72500
ël_	 72450
nt_	 70882
_A	 70713
ng	 70169
ri	 69750
ò	 68533
ant	 67216
es	 66787
ion	 65255
j	 65056
it	 64945
al	 64405
ass	 64193
s_	 63366
he_	 62804
se	 62678
_le	 62369
ssi	 62300
con	 62299
in	 61256
ic	 60979
_.	 59245
'é	 59051
l'é	 58877
_l'é	 58826
'é_	 58721
l'é_	 58646
_l'é_	 58640
_f	 58476
_._	 58361
la_	 58331
r_	 56634
_e	 56375
re	 55880
à_	 55854
o_	 55416
ent	 55113
ì	 54770
/	 54169
or	 53764
eng	 53644
S	 53622
len	 53434
C	 53329
an_	 53126
me	 52884
leng	 52135
_len	 51988
_leng	 51950
ca	 51758
i_	 51547
te	 51225
na_	 50862
nd	 49664
fi	 49625
_con	 48907
_na	 48241
ma	 46201
_C	 46159
sio	 45701
_na_	 45067
bi	 45040
sion	 45023
de	 44614
tr	 44429
eu	 44310
om	 43392
ion_	 43276
pa	 42874
ti	 42760
:	 42710
dë	 42421
ssio	 42261
_dë	 42185
ssion	 42135
li	 41722
sa	 41312
un	 41063
ia	 40627
assi	 39934
gh	 39381
ant_	 39375
'a	 38788
ër	 38041
_m	 37995
dël	 37743
dël_	 37738
_dël	 37696
_dël_	 37691
_e_	 36667
che	 36611
_an_	 36458
ngh	 36336
sion_	 36220
_la	 36124
ab	 35876
ghe	 35846
ns	 35727
engh	 35564
con_	 35453
nghe	 35345
ghe_	 35250
_con_	 35245
lengh	 35236
enghe	 35182
nghe_	 35155
_ch	 35107
ol	 35068
n-	 34937
)	 34810
(	 34798
_S	 34293
di	 34289
rt	 33941
_ant	 33895
_la_	 33509
:_	 33275
dl	 33267
_(	 33167
al_	 33125
men	 33054
_dl	 32944
j_	 32847
_pa	 32464
pë	 32382
për	 32247
_ël	 31981
_pë	 31976
_ël_	 31966
_për	 31921
at	 31811
_ab	 31662
ment	 31591
par	 31295
po	 31071
h_	 31002
ër_	 30995
k	 30897
L	 30806
w	 30692
për_	 30223
_për_	 30130
us	 29910
ur	 29842
fic	 29563
assio	 28836
do	 28801
_L	 28698
_v	 28690
_ant_	 28682
so	 28649
A_	 28559
ich	 28327
il	 28113
_A_	 27893
com	 27875
da	 27844
sa_	 27812
nd_	 27574
_par	 27570
ch_	 27546
sc	 27317
_com	 27234
_b	 27216
ent_	 27151
P	 27119
-a	 26813
im	 26750
ita	 26721
ne	 26611
ul	 26557
em	 26443
n-a	 26140
ga	 26095
ra_	 26092
os	 25955
ë_	 25873
ro	 25784
che_	 25536
pe	 25483
tan	 25458
ni	 25181
_-	 25140
-a_	 25129
n-a_	 25084
|	 24977
las	 24782
mu	 24671
|_	 24597
_t	 24584
ve	 24567
am	 24533
I	 24302
lass	 24280
è	 24109
el	 23824
_|	 23640
fa	 23562
nc	 23431
_|_	 23431
rf	 23424
?	 23392
rà	 23226
-_	 23177
_P	 23001
ica	 22988
tà	 22973
ai	 22833
va	 22763
le_	 22515
mun	 22501
omu	 22318
’	 22163
omun	 22162
comu	 22102
comun	 22005
_comu	 21989
tant	 21889
ì_	 21760
ir	 21698
gr	 21603
_-_	 21555
ment_	 21450
ie	 21434
rs	 21411
_st	 21278
to	 21249
nta	 21231
ste	 21178
abi	 21025
eul	 20947
M	 20837
gi	 20687
_I	 20650
rc	 20628
ich_	 20511
mi	 20351
ul_	 20348
bit	 20270
itan	 20249
id	 20075
tu	 20034
se_	 20000
eul_	 19965
B	 19938
abit	 19931
bita	 19897
itant	 19856
abita	 19837
bitan	 19833
eri	 19730
es_	 19700
O	 19693
_abi	 19634
_abit	 19585
_/	 19401
ga_	 19368
tra	 19157
_o	 19076
_g	 19042
ist	 19015
ta_	 18991
nga	 18986
ma_	 18960
cr	 18928
_sc	 18868
ib	 18817
z	 18682
)_	 18576
Cò	 18570
et	 18546
ten	 18493
hi	 18420
ess	 18387
un-	 18284
_M	 18164
ca_	 18142
là	 18127
lassi	 18080
ut	 17904
pr	 17848
N	 17770
D	 17750
y	 17692
_r	 17607
nga_	 17604
enga	 17567
La	 17489
anc	 17412
omun-	 17346
mun-	 17346
fe	 17341
ij	 17339
l’	 17275
_di	 17212
sp	 17200
enga_	 17165
là_	 17111
og	 17105
sse	 17101
mo	 17098
_La	 17071
rl	 17036
_)	 17036
ime	 17000
str	 16935
_i	 16833
lenga	 16823
lo	 16733
un-a	 16682
un-a_	 16597
art	 16584
ran	 16571
ans	 16541
des	 16538
rim	 16533
_B	 16471
j'	 16374
imen	 16275
tà_	 16263
_D	 16225
un_	 16176
