_	 45229479
o	 9241373
a	 9175297
e	 7763424
i	 6798694
n	 6567050
r	 6023127
t	 5210469
s	 4420903
l	 4356996
v	 4319839
k	 3720104
|	 3231053
d	 2995037
m	 2805027
h	 2788677
p	 2730724
u	 2656113
a_	 2601668
c	 2348268
,	 2166186
,_	 2153697
j	 1861019
z	 1789790
_a	 1755223
·	 1729974
e_	 1706334
g	 1656169
.	 1610441
b	 1599158
y	 1502560
_p	 1499618
_s	 1482294
|_	 1436696
._	 1427162
_v	 1373946
o_	 1347473
al	 1337484
ov	 1300585
ri	 1242369
ig	 1237023
||	 1199739
_,	 1169412
_,_	 1166773
li	 1154358
st	 1139921
_|	 1073774
˝	 1069913
ro	 999318
en	 982098
_n	 953406
Ì	 931275
ch	 903150
na	 886822
to	 883553
pr	 881184
ie	 878131
u_	 870796
È	 858907
i_	 845527
||_	 836491
_||	 836187
Ë	 821932
ne	 789039
ko	 786735
or	 778016
po	 774525
an	 765558
re	 756743
v_	 754750
_o	 754521
ra	 738547
ali	 733651
_z	 721075
_k	 718673
_pr	 716628
m_	 708949
_al	 699606
˙	 697674
û	 693335
y_	 666204
-	 658895
va	 657382
ö	 650831
er	 648196
om	 642515
od	 640884
ht	 637135
je	 631867
ni	 630599
ho	 624355
=	 620018
la	 618976
)	 614149
(	 612570
gn	 612521
gh	 607994
_m	 605969
lig	 605021
rig	 603835
igh	 603495
ght	 603321
ign	 602722
ight	 602158
alig	 598856
sk	 598845
n=	 598583
righ	 598536
right	 598516
lign	 598333
_ali	 598224
align	 598158
t|	 598043
_alig	 597672
lign=	 597565
gn=	 597565
ign=	 597565
ht|	 597021
ght|	 597020
ight|	 597020
=r	 596964
t|_	 596937
ht|_	 596907
ght|_	 596906
n=r	 596892
=ri	 596887
gn=r	 596886
n=ri	 596886
ign=r	 596886
n=rig	 596886
gn=ri	 596886
=rig	 596886
=righ	 596886
te	 596598
_a_	 595655
_||_	 592624
_d	 574450
ol	 572672
lo	 568289
ia	 566702
-_	 555202
_t	 547639
_r	 543736
_po	 541057
h_	 538192
vo	 534625
no	 532806
ti	 529167
_na	 523744
le	 515478
_v_	 505280
ve	 503260
j_	 499237
l_	 495915
È_	 491853
in	 489095
ch_	 488678
do	 488260
S	 486655
_(	 485351
ed	 484625
_j	 484484
ta	 482900
os	 468554
_.	 464258
ej	 459904
at	 455060
A	 452591
me	 448459
ob	 446834
_._	 445155
es	 445092
sa	 445045
ok	 441966
_-	 426973
na_	 417401
tr	 414649
P	 411321
_-_	 409860
_je	 406471
˝_	 406032
ic	 400661
_b	 398139
ad	 398017
f	 396077
ka	 392354
ci	 387557
mi	 386845
M	 386002
de	 380617
je_	 377609
ar	 375808
el	 374733
·_	 374641
aj	 372672
bo	 372521
nÈ	 371338
æ	 368849
as	 361195
n˝	 360748
n·	 359967
ù	 358405
