_	 46822312
а	 11240454
и	 8737650
о	 8326236
е	 8100924
н	 5616824
р	 4806275
с	 4372713
т	 4019852
а_	 3723413
у	 3623920
к	 3178327
в	 3024396
ј	 3023321
д	 3011888
е_	 2904827
м	 2612347
л	 2559299
п	 2537077
и_	 2378774
.	 1820817
,	 1771981
,_	 1763851
._	 1689755
_с	 1689383
a	 1650635
у_	 1608456
на	 1600986
з	 1600057
г	 1554169
e	 1495497
o	 1481758
_п	 1472784
је	 1465753
i	 1417793
о_	 1358766
-	 1353434
ра	 1294077
ст	 1264425
_и	 1251316
б	 1196980
t	 1173303
r	 1158349
ни	 1132454
n	 1062411
је_	 1062195
_ј	 1010082
_н	 1004439
_о	 988800
ко	 981145
та	 978282
но	 966125
ан	 931588
_у	 918832
l	 896013
по	 889733
_је	 888326
од	 883617
ш	 851932
ц	 835941
s	 828570
:	 822122
ре	 795663
ов	 793463
ин	 789461
на_	 783407
_је_	 772190
_.	 769097
ен	 769079
ти	 766794
_к	 766646
ч	 753290
_д	 750492
_._	 732447
_на	 729085
иј	 729049
ка	 724431
ла	 705223
ма	 700475
ва	 688590
_по	 682602
пр	 676379
ли	 671412
_и_	 665240
_,	 664092
_,_	 662357
њ	 648165
да	 645021
не	 642270
ос	 640407
)	 634974
(	 634781
ри	 623866
_-	 612314
м_	 611024
ој	 602951
ро	 600661
_у_	 591888
ом	 590527
ве	 584661
се	 579683
_пр	 563523
u	 562775
ск	 561521
ал	 560731
-_	 559760
d	 549659
им	 543982
m	 528035
ор	 523858
ат	 523354
ар	 520134
ди	 510678
ог	 508668
љ	 505767
ав	 505150
}	 498076
{	 495953
ја	 493922
во	 488026
ви	 483313
:_	 480896
ер	 478657
}-	 475093
-{	 474840
_(	 473455
то	 473050
те	 471620
_м	 467407
х	 463655
за	 460772
ед	 457989
_в	 457698
ад	 450693
c	 445273
_г	 434483
ме	 432621
ис	 430702
_б	 428138
ик	 425830
са	 423453
ста	 409116
ци	 408888
_з	 408263
_а	 405859
)_	 403980
ж	 402990
он	 398277
ло	 397462
_ко	 397321
из	 396767
p	 392538
д_	 390666
ас	 384845
ил	 382680
_т	 381392
С	 380484
_се	 380022
e_	 378928
ај	 375762
_-{	 375225
тр	 370953
ак	 370535
g	 369263
ем	 363558
ф	 358605
ет	 358343
ћ	 355317
_С	 349085
не_	 341240
н_	 339260
ки	 338564
го	 338270
ње	 337849
h	 335680
_на_	 331126
k	 330272
ле	 329116
би	 327034
j	 327025
_р	 324672
П	 323139
ит	 317914
ел	 312840
до	 312175
ом_	 309842
се_	 308997
a_	 306850
ио	 305933
да_	 304434
_за	 303117
_П	 302125
су	 299197
_се_	 298232
де	 295986
_са	 295691
аз	 295242
гр	 292514
шт	 291832
а,	 290059
а,_	 289733
_од	 287938
b	 287496
их	 286425
г_	 284083
v	 281210
ија	 277300
ни_	 276559
}-_	 275314
_из	 275223
ост	 274390
об	 274027
ек	 272431
од_	 271599
_ст	 271577
ка_	 268515
ма_	 267874
ја_	 267544
ру	 264876
ив	 262581
х_	 262543
(_	 262396
ије	 262152
or	 258739
мо	 254218
а.	 253747
си	 253571
кој	 253103
_)	 251531
ок	 251504
ог_	 250296
ту	 250138
вн	 249386
их_	 249280
ол	 248462
ес	 248012
а._	 245652
ац	 245259
ам	 241995
сти	 241464
|	 237846
оп	 237501
_су	 236563
ј_	 234954
ина	 234862
па	 234749
су_	 234082
y	 232637
гра	 229564
ју	 229281
ји	 228202
има	 227153
ао	 226579
нов	 225971
зи	 225907
иц	 225073
но_	 222379
оди	 221224
_-_	 219953
дин	 218855
lo	 218844
in	 218840
ке	 218449
ич	 217474
пре	 216245
_да	 216221
ез	 216079
дн	 215699
ла_	 214020
ra	 213717
ку	 211219
Н	 210722
ањ	 207810
га	 207492
ао_	 205804
ва_	 204695
т_	 204684
_кој	 204438
ине	 204360
ли_	 204016
К	 202303
вр	 201596
ми	 201273
st	 201175
ar	 200853
ta	 200010
ова	 199793
ђ	 198629
_до	 198589
ист	 197409
_су_	 196122
C	 195781
сл	 194630
та_	 194373
за_	 194362
зн	 193779
ани	 192900
f	 192493
z	 192023
от	 188759
ир	 188164
_од_	 186373
S	 186321
ти_	 185556
Б	 185549
_ка	 185527
ља	 185466
ol	 184914
_p	 184510
др	 184178
про	 184020
_би	 183387
им_	 183126
_ве	 183002
ње_	 182862
аци	 182476
ну	 181970
en	 181731
ика	 181246
ој_	 180883
_го	 180337
r:	 179383
нс	 179344
нос	 178346
тв	 178048
ски	 177422
ник	 176617
_а_	 176610
_Н	 175548
рад	 174885
_пре	 173690
_Б	 173686
i_	 172326
тра	 171998
ке_	 171871
тан	 170906
бр	 170595
ки_	 170379
циј	 170175
вни	 168507
ано	 168399
ус	 168187
ран	 167976
М	 167067
ија_	 166705
са_	 166694
I	 166558
кр	 166232
_про	 166074
w	 165339
год	 165182
al	 164926
_К	 164828
св	 164591
пи	 164369
один	 164062
ио_	 163612
ti	 163347
ије_	 163030
ба	 162897
нт	 162663
nt	 162551
це	 162310
an	 162195
ач	 161781
_да_	 161440
ско	 161173
иш	 160968
че	 159353
годи	 159348
ље	 159201
Д	 158692
Р	 158554
ев	 158248
ред	 157223
_год	 156917
ра_	 156842
О	 155510
A	 155484
_ста	 155432
ина_	 155071
_ра	 155033
_М	 154717
под	 154379
ап	 154292
_годи	 153970
бо	 153921
=	 153501
at	 152895
к_	 152547
_не	 152118
годин	 151983
р_	 151624
е,	 151099
е,_	 150942
_s	 150859
er	 150725
ан_	 149992
ко_	 149465
ји_	 149074
