_	 21555743
n	 3708674
a	 3633902
i	 3060075
l	 2991509
e	 2959061
o	 2795451
s	 2455144
d	 1955800
t	 1752839
s_	 1696328
m	 1555893
b	 1404820
,	 1367111
,_	 1366852
ä	 1338210
in	 1217733
_,	 1134217
_,_	 1134019
n_	 1055863
ö	 1032443
on	 991790
f	 944932
.	 873498
._	 845952
_l	 844097
ü	 843563
p	 807075
u	 799854
r	 766880
ns	 755173
an	 716659
_b	 700725
bi	 684803
ns_	 678284
k	 653334
bin	 611996
_ä	 607918
el	 597192
no	 585503
on_	 574761
fa	 572276
la	 558248
a_	 542173
_m	 531466
ino	 519779
bino	 515986
%	 512837
_%	 512801
e_	 510979
da	 503812
:	 496110
ü_	 494951
non	 476276
inon	 466741
binon	 466422
v	 455019
do	 446651
_p	 444459
y	 439011
_e	 428350
’	 418099
ne	 411552
äl	 405243
at	 400084
ot	 399539
_.	 396218
_._	 395863
%_	 383156
_%_	 383149
li	 380358
as	 380211
om	 380082
_i	 379624
:_	 371135
in_	 363766
en	 360733
_in	 358436
_in_	 353232
öd	 351695
(	 350900
)	 350847
if	 348132
_v	 343846
ma	 342044
lö	 341280
ons	 336345
ons_	 331411
non_	 329142
inon_	 322707
S	 315157
ab	 313728
me	 313672
_e_	 307705
ik	 304001
äd	 302011
tü	 301822
tü_	 301218
_’	 299315
’_	 299260
ye	 295600
ld	 294801
u_	 294056
_(	 293669
L	 289299
_L	 283704
äb	 283366
_äb	 282760
äbi	 282591
äbin	 282552
_äbi	 282547
_äbin	 282542
as_	 282003
yel	 281822
mö	 280503
ö_	 280495
ldo	 280090
_mö	 279949
dot	 279720
ta	 279507
mö_	 279392
_mö_	 279385
äld	 279361
ldot	 279320
äldo	 279313
äldot	 279313
ed	 278788
ti	 278787
(_	 272891
löd	 269288
_bi	 267774
g	 257951
ela	 256750
bä	 256048
_bä	 255722
bäl	 255685
bäld	 255671
_bäl	 255669
_bäld	 255666
bäldo	 255643
ay	 253316
_t	 250201
lo	 248095
lu	 247323
k_	 243118
am	 240964
dan	 237975
et	 234131
lif	 233031
öda	 231479
ödan	 231268
ik_	 230782
ef	 229059
id	 228782
_li	 227834
al	 227833
so	 227617
ane	 222159
nef	 220203
anef	 220023
ans	 218122
_(_	 216078
aye	 215010
od	 214243
mü	 211819
äbino	 211476
to	 210638
ifa	 210078
_lif	 208518
lifa	 208459
fay	 208416
faye	 208363
_lifa	 208357
ayel	 208292
ifay	 208256
ifaye	 208246
fayel	 208245
lifay	 208245
ans_	 206178
c	 205655
di	 205533
ls	 202348
z	 200175
_bin	 199013
_bino	 198891
t_	 198724
i_	 196327
ni	 190638
h	 190119
is	 189167
_u	 188568
etü	 187265
etü_	 187211
bo	 185237
f_	 183493
vi	 181912
le	 181588
_f	 181538
°	 180806
_°	 180766
°_	 180745
_°_	 180705
_’_	 180534
o_	 178041
ls_	 172864
_me	 172595
de	 171382
man	 171348
oti	 169522
pö	 166677
_pö	 166519
op	 164938
las	 163622
ens	 161718
_z	 161080
la_	 161046
_S	 160824
na	 160229
em	 158113
_a	 157376
lä	 152783
öl	 151963
te	 151075
l_	 150464
löda	 150192
lödan	 150167
äda	 149738
er	 149636
lab	 149628
abo	 149172
_to	 148767
labo	 148552
d_	 147951
_a_	 147481
_k	 147276
U	 146733
_)	 146641
_U	 146402
).	 145281
)._	 145238
es	 144913
ti_	 144503
oma	 144383
top	 144206
_lö	 144155
nons	 144131
inons	 143871
_fa	 143457
_top	 143371
yela	 143225
N	 142500
_u_	 142363
zi	 141450
las_	 141278
nons_	 141187
il	 141150
els	 141047
_N	 140558
amü	 139947
els_	 139638
is_	 137509
yels	 137470
yels_	 137455
_zi	 136552
vo	 130567
ol	 130140
abi	 129846
abin	 129249
dab	 129117
dabi	 128689
dabin	 128657
bon	 126842
_vo	 126640
po	 126393
ür	 126113
dik	 125823
abon	 124968
labon	 124838
ms	 124475
dik_	 124463
elö	 124341
_äl	 124070
ms_	 122605
_vi	 122443
M	 122199
_löd	 120545
ül	 120535
-	 120300
pl	 119853
ös	 119729
edi	 119490
lom	 119341
sod	 118832
_lo	 118762
oman	 118760
elas	 118693
oti_	 118657
elas_	 118645
’’	 118644
oms	 118643
’’_	 118641
_’’	 118633
_’’_	 118630
pa	 118605
mül	 118600
amül	 118572
doti	 118499
oms_	 118485
loma	 118464
öso	 118454
ösod	 118454
pös	 118450
yelas	 118440
pöso	 118440
pösod	 118440
_pös	 118439
_pöso	 118437
mane	 118433
doti_	 118417
_lom	 118416
omane	 118404
ldoti	 118403
ayela	 118403
loman	 118394
_loma	 118393
manef	 118386
US	 118036
_US	 118018
$	 117957
$_	 117953
_el	 117933
US$	 117828
S$	 117828
US$_	 117825
S$_	 117825
_US$	 117815
_US$_	 117812
_pl	 117683
äs	 117619
fam	 117334
se	 117231
_fam	 117076
famü	 117015
famül	 116998
_famü	 116949
lu_	 116471
plu	 116221
_plu	 116181
