_	 3688877
a	 1504684
n	 976055
n_	 577440
a_	 534989
h	 532023
ha	 468972
_h	 464638
i	 453619
_ha	 452112
o	 420237
an	 404821
an_	 348073
s	 331935
u	 262935
g	 242487
han	 234715
d	 233984
han_	 232592
_han	 230611
_han_	 230461
ha_	 222799
_ha_	 220776
m	 204250
t	 204045
e	 195263
o_	 195160
r	 182505
l	 180034
_n	 163338
k	 150382
ga	 149943
ng	 136159
in	 134808
.	 127633
ka	 126343
A	 125008
._	 123696
_a	 122085
_A	 121517
am	 109216
_k	 108903
An	 108662
_An	 108264
us	 107068
_.	 107060
_._	 106631
An_	 106587
_An_	 106523
_ka	 103627
sa	 102342
nga	 101333
_u	 101129
_us	 98586
d_	 98214
ka_	 96316
mo	 96074
na	 95716
p	 95056
_ng	 94393
_nga	 94330
mo_	 92925
_am	 91908
amo	 91876
amo_	 91250
_amo	 90881
_amo_	 90865
sa_	 90601
usa	 88848
usa_	 88444
_usa	 88252
_usa_	 88239
y	 88028
in_	 85471
_ka_	 84293
_i	 83844
as	 80908
_in	 77003
,	 74941
,_	 74852
al	 73612
_in_	 73036
ga_	 69208
b	 67429
_na	 67280
gan	 66406
od	 65451
gan_	 64474
is	 64211
_,	 64036
_,_	 64011
so	 62852
od_	 61424
nas	 60075
aso	 59420
sod	 59083
asod	 59033
_nas	 59032
la	 58997
naso	 58643
sod_	 58642
asod_	 58611
nasod	 58610
_naso	 58596
un	 57977
c	 55949
to	 55108
ad	 53538
on	 53218
da	 52632
ngan	 50671
ngan_	 49506
_ngan	 47639
ta	 46352
pa	 46056
-	 45320
nga_	 44976
ni	 44902
to_	 44271
_nga_	 43901
it	 42612
_m	 42592
li	 42142
e_	 41266
st	 40589
hi	 40519
ar	 40221
mu	 38417
ri	 36907
mun	 35761
w	 35537
M	 35293
dad	 34835
S	 34722
si	 34567
_d	 33878
_M	 32462
ip	 32341
ra	 32289
ad_	 31826
_S	 31596
dad_	 30311
di	 29947
id	 29866
on_	 29509
tr	 28794
en	 28254
aw	 28147
ay	 27901
nis	 27855
yo	 27832
re	 27722
s_	 27467
uni	 27391
isi	 27323
ali	 27291
muni	 27032
ma	 26724
sip	 26714
ida	 26688
_mu	 26662
nisi	 26603
ist	 26568
isip	 26531
unis	 26514
munis	 26481
unisi	 26474
nisip	 26470
