¡	 176560
¤	 150649
A	 87475
_	 85018
¡A	 84803
¦	 65692
¥	 64254
C	 47475
¡C	 43329
§	 40847
¨	 35264
°	 31689
©	 31646
¬	 30425
«	 29328
ª	 28002
³	 26081
­	 22833
±	 22065
®	 19795
»	 18249
¤§	 18102
¹	 18030
µ	 17739
H	 16989
¸	 16913
¶	 16015
¾	 15440
B	 15136
²	 15030
º	 13598
½	 13355
A¤	 13266
¼	 12985
¡A¤	 12876
G	 12393
ê	 11970
·	 11807
]	 11794
´	 11668
C_	 11657
¡C_	 11530
¡B	 11420
¿	 11404
¯	 11260
Ó	 11250
v	 11077
~	 11062
£	 10723
Ò	 10623
Á	 10354
@	 10287
Ñ	 10240
n	 10228
À	 10133
Â	 9430
¬°	 9393
l	 9292
A¥	 9255
ó	 9102
¡A¥	 9060
Ã	 8955
Q	 8913
¥H	 8731
ä	 8426
Ä	 8318
Æ	 8242
u	 8176
A¦	 8117
P	 8069
¡A¦	 7998
D	 7988
a	 7786
L	 7356
s	 7223
m	 7114
j	 7087
Ì	 7074
]¡	 7004
Å	 6795
_¤	 6718
|	 6691
h	 6679
¨ä	 6629
?	 6585
q	 6538
i	 6507
F	 6422
ý	 6309
¤£	 6306
¤]	 6302
O	 6277
§¡	 6168
¦~	 6158
Û	 6139
¤]¡	 6134
C¤	 6092
T	 5934
o	 5926
¤Q	 5879
Î	 5786
U	 5781
x	 5753
©ó	 5688
J	 5679
_¡	 5654
Ê	 5566
¤H	 5541
p	 5540
¦³	 5535
¤ê	 5463
W	 5431
w	 5301
¤@	 5280
d	 5276
e	 5237
¤§¡	 5216
ªÌ	 5184
N	 5158
¡C¤	 5053
^	 5035
Ü	 5023
E	 5013
¦Ó	 4997
M	 4985
Ú	 4975
ê¡	 4904
É	 4865
Ç	 4832
è	 4693
¤T	 4670
¤G	 4660
°ê	 4641
ë	 4573
ô	 4565
¤l	 4462
Q¤	 4428
¡u	 4402
¡v	 4395
]¡C	 4357
×	 4313
¤j	 4303
¤]¡C	 4270
ç	 4255
k	 4216
X	 4157
ß	 4122
C¡	 4113
Ù	 4105
A«	 4092
é	 4065
¡A«	 4064
B¡	 4019
¡m	 4018
¡n	 4018
á	 4013
A¬	 4000
ì	 3998
¤¤	 3990
Ï	 3970
å	 3967
A¨	 3965
y	 3956
¡A¬	 3938
ú	 3931
¤Q¤	 3921
¡G	 3903
æ	 3888
¡A¨	 3868
ü	 3830
t	 3806
Ð	 3796
K	 3784
G¡	 3767
¤ê¡	 3762
ø	 3705
S	 3681
¡C¡	 3644
}	 3513
\	 3482
A©	 3467
Ì¡	 3446
ò	 3445
¡B¡	 3435
`	 3431
Õ	 3424
¡A©	 3401
÷	 3395
{	 3312
C¦	 3273
§¡A	 3246
ö	 3246
g	 3234
_¥	 3230
Y	 3220
~¡	 3213
??	 3186
v¡	 3152
b	 3131
Z	 3128
A±	 3127
ªÌ¡	 3085
r	 3075
¡A±	 3066
¤ý	 3007
Ý	 3001
à	 2992
Ø	 2965
¤­	 2944
õ	 2933
f	 2933
Í	 2911
©Ò	 2888
­x	 2885
í	 2869
¦Ü	 2821
þ	 2815
§¤	 2797
ð	 2786
ï	 2783
Ì¡A	 2756
«á	 2756
